"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","THA.PPPGDP.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","75.722","87.784","98.198","107.739","118.057","127.445","137.205","153.990","180.604","210.572","243.843","273.273","305.298","339.649","374.644","413.558","444.932","440.141","411.110","435.991","465.732","492.620","531.038","580.453","633.549","680.779","736.636","797.715","827.114","826.467","899.363","925.630","1011.155","1056.002","1084.972","1129.360","1179.255","1250.522","1347.311","1427.827","1372.406","1451.544","1596.526","1692.686","1785.790","1880.755","1963.655","2048.928","2130.290","2221.427","2318.733","2419.608"
"IMF.RES:WEO(9.0.0)","THA.PPPPC.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","1598.364","1816.495","1993.635","2147.307","2310.547","2449.596","2589.753","2854.520","3290.200","3775.574","4311.361","4774.786","5280.969","5822.111","6363.349","6954.381","7399.476","7233.626","6675.484","6998.410","7391.647","7739.377","8263.064","8948.194","9679.589","10312.105","11065.965","11888.028","12231.823","12132.331","13114.171","13413.532","14562.380","15119.196","15451.833","16010.024","16642.080","17573.340","18876.221","19963.392","19156.582","20236.976","22255.788","23607.092","24917.534","26260.240","27440.829","28661.088","29833.077","31148.985","32559.606","34029.134"
"IMF.RES:WEO(9.0.0)","THA.GGXWDG_NGDP.A","OBS_VALUE","Thailand","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","15.193","40.455","49.881","56.585","57.826","57.532","54.901","47.500","46.267","45.462","39.177","35.985","34.946","42.364","39.831","39.116","41.929","42.191","43.334","42.559","41.745","41.777","41.941","41.063","49.434","58.367","60.548","62.236","62.913","64.685","66.799","67.820","68.561","69.123","69.518","69.699"
"IMF.RES:WEO(9.0.0)","THA.GGSB_NPGDP.A","OBS_VALUE","Thailand","Structural balance, General government, Percent","Annual","Units","","","","","","","","","","","","","","","","3.795","1.738","-2.530","-5.203","-7.197","-0.907","-0.766","-5.081","1.905","0.936","2.007","1.615","-0.016","0.207","-1.305","-1.292","-0.062","-0.498","0.131","-0.605","0.412","0.607","-0.482","0.000","0.288","-3.563","-5.527","-4.053","-1.593","-1.042","-1.721","-2.087","-1.900","-2.041","-2.189","-2.204","-2.216"
"IMF.RES:WEO(9.0.0)","THA.NGDP_R.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","1577.940","1671.197","1760.654","1858.919","1965.992","2057.271","2171.117","2377.785","2693.747","3022.212","3373.479","3656.940","3994.472","4341.027","4688.180","5068.875","5355.365","5207.901","4810.328","5030.271","5254.382","5435.356","5769.577","6184.367","6573.323","6848.590","7188.815","7579.538","7710.338","7657.089","8232.396","8301.559","8902.824","9142.087","9232.088","9521.426","9848.502","10259.941","10693.205","10919.319","10253.998","10413.210","10692.779","10932.312","11254.239","11525.758","11698.644","11944.380","12218.138","12518.258","12830.831","13151.603"
"IMF.RES:WEO(9.0.0)","THA.BCA_NGDPD.A","OBS_VALUE","Thailand","Current account balance (credit less debit), Percent of GDP","Annual","Units","-6.212","-7.142","-2.654","-6.946","-4.883","-3.826","0.555","-0.702","-2.597","-3.347","-8.230","-7.478","-5.454","-4.931","-5.494","-8.023","-8.027","-2.012","12.529","9.811","7.368","4.240","3.466","3.134","1.596","-4.036","1.044","5.927","0.319","7.877","3.367","2.542","-1.232","-2.102","2.858","6.916","10.508","9.631","5.620","7.049","4.144","-2.142","-3.429","1.640","2.195","3.070","0.708","1.409","1.905","2.316","2.481","2.669"
"IMF.RES:WEO(9.0.0)","THA.TX_RPCH.A","OBS_VALUE","Thailand","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","13.727","4.104","18.788","-6.318","12.056","4.170","15.051","21.108","26.114","21.145","11.686","17.280","13.807","12.735","14.245","15.445","-5.525","7.234","8.242","9.031","17.488","-4.211","5.887","9.134","14.631","7.760","10.788","8.894","6.264","-12.140","14.220","9.509","3.662","2.514","0.345","1.250","2.696","5.181","3.351","-2.954","-19.967","11.130","6.384","2.717","7.522","9.215","-0.231","2.859","2.910","3.028","2.947","3.092"
"IMF.RES:WEO(9.0.0)","THA.NGDP.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","684.362","785.514","869.396","951.419","1020.735","1091.390","1170.830","1342.846","1611.321","1918.332","2263.467","2583.491","2935.646","3263.426","3689.090","4217.614","4638.604","4710.310","4701.553","4789.826","5069.820","5345.001","5769.578","6317.303","6954.282","7614.411","8400.644","9076.301","9706.929","9658.667","10808.145","11306.906","12357.342","12915.158","13230.304","13743.480","14590.337","15488.664","16373.343","16889.174","15655.440","16182.001","17379.625","17993.197","18683.888","18973.709","19429.850","20032.733","20734.236","21542.441","22404.228","23367.092"
"IMF.RES:WEO(9.0.0)","THA.LP.A","OBS_VALUE","Thailand","Population, Persons for countries / Index for country groups","Annual","Millions","47.374","48.326","49.256","50.174","51.095","52.027","52.980","53.946","54.892","55.772","56.558","57.232","57.811","58.338","58.875","59.467","60.130","60.847","61.585","62.299","63.008","63.651","64.266","64.868","65.452","66.017","66.568","67.102","67.620","68.121","68.579","69.007","69.436","69.845","70.216","70.541","70.860","71.160","71.376","71.522","71.641","71.727","71.735","71.702","71.668","71.620","71.560","71.488","71.407","71.316","71.215","71.104"
"IMF.RES:WEO(9.0.0)","THA.PCPIEPCH.A","OBS_VALUE","Thailand","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","","12.092","2.624","3.977","-0.820","3.581","1.862","3.655","3.023","6.357","-3.816","4.661","3.174","4.316","4.732","7.516","4.730","7.503","4.351","0.593","1.626","0.580","1.591","1.858","2.939","5.696","3.741","2.965","0.480","3.472","3.094","3.533","3.623","1.681","0.599","-0.860","1.123","0.770","0.360","0.870","-0.270","2.173","5.894","-0.839","1.239","-0.279","1.525","0.805","1.700","1.700","1.800","2.000"
