"Table 6 :  Gross domestic product, chain volume measures [reference year = 2002] (Seasonally Adjusted)",,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25)
2024,Q4,"181,718","181,718","2,687,701","847,757","48,528","705,211","80,827","16,411","1,854,279","78,832","466,992","185,879","177,789","191,069","222,486","117,529","53,749","38,862","137,397"," 88,134 "," 77,102 "," 29,443 "," 36,456 "," 4,607 ","2,847,233"
2025,Q1,"184,534","184,534","2,692,614","846,354","47,142","706,349","78,104","16,100","1,858,965","76,472","474,894","185,174","175,518","194,060","223,435","117,405","54,127","38,926","135,729"," 87,989 "," 77,727 "," 29,516 "," 36,617 "," 4,379 ","2,858,028"
2025,Q2,"185,770","185,770","2,712,336","854,609","49,399","713,897","78,055","16,038","1,869,247","77,406","483,337","186,627","172,410","195,494","224,707","118,204","54,340","39,195","135,433"," 88,097 "," 78,233 "," 29,312 "," 36,930 "," 4,357 ","2,878,270"
2025,Q3,"182,061","182,061","2,709,824","845,499","50,457","699,863","80,266","16,406","1,878,320","78,076","490,770","188,525","174,460","195,520","223,407","118,701","54,482","39,289","133,979"," 88,359 "," 79,491 "," 29,478 "," 37,261 "," 4,496 ","2,868,360"
2025,Q4,"183,153","183,153","2,760,942","855,138","51,599","707,699","79,961","16,243","1,916,359","87,140","498,273","191,444","178,577","197,162","229,266","118,941","54,809","38,905","137,592"," 88,717 "," 80,691 "," 29,141 "," 36,806 "," 4,595 ","2,921,349"
2026,Q1,"187,671","187,671","2,771,322","862,185","51,472","713,869","81,523","16,272","1,922,700","81,548","502,398","191,649","178,929","200,543","231,704","119,091","55,135","38,555","135,269"," 88,557 "," 81,263 "," 29,624 "," 36,836 "," 4,523 ","2,938,332"
2026,Q2,"188,468","188,468","2,764,913","862,237","51,781","713,363","82,936","16,620","1,916,327","77,744","505,457","191,615","175,689","202,681","232,746","119,543","55,657","39,603","134,375"," 88,668 "," 81,550 "," 30,148 "," 37,195 "," 4,477 ","2,932,896"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
