Table 21.1 :  Exports and Imports of goods and services at current market prices (seasonally adjusted) q-o-q growth rate,,,,,,,
,,,,,,,
,, (1) Exports of goods and services,(1.1)Exports of goods ,(1.2)Exports of services ,(2)Imports of goods and services,(2.1)Imports of goods ,(2.2)Imports of services 
2010,Q3,-2.3 ,-4.2 ,12.4 ,0.1 ,0.5 ,-1.5 
2010,Q4,4.7 ,4.8 ,6.8 ,1.4 ,1.9 ,-1.5 
2011,Q1,10.1 ,10.2 ,11.0 ,14.1 ,15.6 ,7.3 
2011,Q2,0.1 ,-1.1 ,3.0 ,1.3 ,1.7 ,0.9 
2011,Q3,4.0 ,4.3 ,2.9 ,6.5 ,7.6 ,0.9 
2011,Q4,-14.1 ,-14.1 ,-12.5 ,-5.7 ,-7.0 ,0.4 
2012,Q1,12.2 ,12.1 ,13.2 ,8.4 ,10.0 ,1.1 
2012,Q2,5.7 ,4.8 ,7.2 ,4.3 ,5.5 ,-0.1 
2012,Q3,0.0 ,-0.5 ,3.0 ,-4.5 ,-4.7 ,-4.6 
2012,Q4,0.3 ,-0.8 ,6.6 ,2.8 ,2.5 ,5.5 
2013,Q1,-2.4 ,-3.4 ,1.6 ,1.3 ,1.4 ,-0.1 
2013,Q2,-0.1 ,-1.2 ,5.6 ,-2.4 ,-2.6 ,-0.2 
2013,Q3,4.8 ,4.8 ,4.7 ,-3.0 ,-3.9 ,1.0 
2013,Q4,1.4 ,1.9 ,-1.7 ,1.6 ,1.6 ,2.4 
2014,Q1,0.2 ,2.3 ,-7.2 ,-0.2 ,-0.4 ,-0.6 
2014,Q2,0.0 ,0.1 ,-2.4 ,-0.9 ,-0.6 ,-1.1 
2014,Q3,-3.0 ,-4.1 ,3.3 ,1.4 ,1.3 ,1.5 
2014,Q4,8.9 ,6.0 ,21.0 ,-3.5 ,-3.5 ,-2.2 
2015,Q1,-6.0 ,-6.4 ,-4.0 ,-3.0 ,-3.4 ,-3.3 
2015,Q2,2.8 ,1.9 ,6.9 ,-0.5 ,-1.2 ,4.4 
2015,Q3,2.9 ,3.6 ,1.0 ,2.5 ,2.9 ,0.4 
2015,Q4,1.7 ,1.3 ,1.5 ,-2.6 ,-3.0 ,0.2 
2016,Q1,2.1 ,0.7 ,7.9 ,-3.2 ,-5.0 ,2.1 
2016,Q2,-0.4 ,-1.7 ,5.3 ,2.4 ,3.4 ,0.8 
2016,Q3,-1.0 ,-1.1 ,-0.7 ,0.8 ,0.4 ,2.6 
2016,Q4,2.2 ,4.5 ,-7.0 ,4.7 ,6.0 ,0.3 
2017,Q1,4.0 ,3.3 ,6.9 ,2.7 ,2.6 ,0.2 
2017,Q2,-1.1 ,-2.4 ,4.8 ,-0.6 ,0.2 ,-1.6 
2017,Q3,2.7 ,2.4 ,4.0 ,-0.7 ,-0.9 ,-0.2 
2017,Q4,-0.3 ,0.3 ,-4.5 ,4.7 ,3.9 ,9.2 
2018,Q1,1.5 ,0.1 ,5.1 ,1.5 ,2.2 ,-4.0 
2018,Q2,0.9 ,2.3 ,-0.2 ,3.7 ,2.1 ,12.6 
2018,Q3,-0.5 ,-0.7 ,0.0 ,4.8 ,5.9 ,0.4 
2018,Q4,0.6 ,0.9 ,-2.7 ,-2.9 ,-3.7 ,1.3 
2019,Q1,-4.1 ,-5.7 ,-1.2 ,-5.4 ,-6.8 ,-1.9 
2019,Q2,-1.3 ,-0.5 ,1.5 ,-0.5 ,-0.3 ,0.3 
2019,Q3,0.5 ,-1.8 ,7.8 ,-3.6 ,-3.4 ,-3.8 
2019,Q4,-3.4 ,-4.7 ,-3.9 ,-4.3 ,-4.7 ,-3.9 
2020,Q1,-2.7 ,8.1 ,-32.0 ,3.7 ,4.4 ,0.3 
2020,Q2,-25.2 ,-18.2 ,-60.1 ,-22.5 ,-21.2 ,-27.3 
2020,Q3,9.4 ,11.6 ,-8.6 ,4.2 ,3.9 ,6.6 
2020,Q4,-0.8 ,1.6 ,-6.0 ,11.9 ,11.5 ,11.4 
2021,Q1,10.0 ,9.8 ,12.5 ,15.3 ,15.2 ,16.0 
2021,Q2,10.3 ,7.0 ,22.8 ,4.2 ,4.1 ,4.9 
2021,Q3,2.2 ,2.4 ,1.4 ,7.5 ,7.1 ,11.1 
2021,Q4,9.1 ,11.5 ,2.7 ,8.7 ,9.7 ,1.3 
2022,Q1,2.9 ,1.7 ,15.8 ,2.5 ,2.9 ,1.7 
2022,Q2,6.9 ,3.0 ,31.0 ,10.0 ,10.1 ,9.1 
2022,Q3,3.0 ,1.0 ,18.7 ,7.4 ,8.2 ,6.5 
2022,Q4,-3.2 ,-4.4 ,9.4 ,-11.3 ,-13.2 ,-6.0 
2023,Q1,0.3 ,-0.9 ,6.4 ,-1.0 ,-0.6 ,-1.4 
2023,Q2,0.3 ,-1.6 ,11.6 ,0.6 ,-0.1 ,3.6 
2023,Q3,3.5 ,2.5 ,7.7 ,-1.3 ,-1.1 ,-0.3 
2023,Q4,3.2 ,3.8 ,0.1 ,6.4 ,5.1 ,8.0 
2024,Q1,2.3 ,-0.5 ,14.1 ,3.9 ,3.8 ,5.5 
2024,Q2,3.2 ,4.6 ,0.3 ,-0.8 ,-1.4 ,1.6 
2024,Q3,0.8 ,-0.1 ,4.4 ,1.1 ,1.4 ,1.4 
2024,Q4,2.6 ,1.9 ,3.9 ,0.7 ,0.5 ,-1.4 
2025,Q1,1.8 ,2.8 ,-2.7 ,-0.5 ,0.6 ,-3.4 
2025,Q2,-2.1 ,-1.2 ,-4.9 ,1.0 ,1.5 ,-1.0 
2025,Q3,-0.7 ,-0.1 ,-3.5 ,1.1 ,1.5 ,0.6 
2025,Q4,3.1 ,2.3 ,6.5 ,7.3 ,7.5 ,4.4 
2026,Q1,7.5 ,8.6 ,3.2 ,10.5 ,11.7 ,6.5 
2026,Q2,4.4 ,4.6 ,2.8 ,12.7 ,14.7 ,4.2 
