Table 7 :  Composition of private final consumption expenditure at current market prices (original),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Individual consumption expenditure of households , (1.1)Food and Non-alcoholic,(1.1.1) Food ,(1.1.1.1) Bread and Cereals,(1.1.1.2)Meat (5),(1.1.1.3)Fish (6),"(1.1.1.4)Milk, Cheese and Eggs",(1.1.1.5)Oil and Fat,(1.1.1.6)Fruit ,(1.1.1.7)Vegetables ,"(1.1.1.8) Sugar, Jam, Honey, Chocolate and Confectionery ",(1.1.1.9) Food Products n.e.c. ,(1.1.2) Non-alcoholic Beverages,"(1.2)Alcoholic Beverages, Tobacco and Narcotic ",(1.2.1) Alcoholic Beverages ,(1.2.2)Tobacco ,(1.3)Clothing and Footwear ,(1.3.1)Clothing,(1.3.2) Footwear ,"(1.4)Housing, Water, Electricity, Gas and Other Fuels ",(1.4.1)Housing and Water ,"(1.4.2)Electricity, Gas and Other Fuels ","(1.5) Furnishings, Households Equipment and Routine Maintenance of the House ","(1.5.1)Furniture and Furnishings, Carpets and Other Floor Covering ",(1.5.2) Households Equipment and Routine Maintenance of the House ,(1.6) Health ,(1.7) Transport ,(1.7.1) Purchase of Vehicles ,(1.7.2) Operation of Personal Transport Equipment,(1.7.3) Transport Services ,(1.8) Communication ,(1.9) Recreation and Culture ,"(1.9.1) Audio-visual, Photographic and Information Processing Equipment",(1.9.2)Other Recreation and Entertainment,"(1.9.3) Newspaper, Books and Stationery",(1.10) Education,(1.11) Restaurants and Hotels ,(1.12) Miscellaneous Goods and Services ,(1.12.1) Personal Care ,(1.12.2)Personal Effects n.e.c. ,(1.12.3)Financial Services ,(1.12.4)Other Services n.e.c. ,(2)Individual consumption expenditure by non-profit institution serving households (NPISHs),(3)Private final consumption expenditure in The Domestic Market ,(4)Plus : Expenditure of Resident Abroad ,(5)Less : Expenditure of Non-resident in The Country ,(6)Private final consumption expenditure ,,
2008,Q2,"1,389,644","354,327","306,654","78,551","37,940","32,331","22,818","11,998","26,842","75,139","8,597","12,438","47,673","60,173","44,615","15,558","76,977","71,558","5,419","127,080","93,336","33,744","61,001","6,410","54,591","56,673","222,879","57,057","95,851","69,971","37,625","69,939","23,759","34,632","11,548","21,119"," 169,827 "," 132,024 "," 23,506 "," 21,747 "," 61,775 "," 24,996 "," 22,281 "," 1,411,925 "," 30,390 "," 115,241 "," 1,327,074 ",,
2008,Q3,"1,365,822","347,427","307,009","75,208","39,273","38,954","23,578","11,612","20,494","74,361","11,470","12,059","40,418","54,731","37,365","17,366","78,991","73,468","5,523","125,725","93,513","32,212","61,226","6,074","55,152","57,296","207,853","52,979","86,204","68,670","32,849","72,221","22,764","36,529","12,928","20,427"," 169,185 "," 137,891 "," 25,634 "," 27,820 "," 60,178 "," 24,259 "," 22,299 "," 1,388,121 "," 33,313 "," 113,047 "," 1,308,387 ",,
2008,Q4,"1,342,346","336,245","290,454","60,488","40,315","33,489","23,415","11,433","14,756","84,178","9,957","12,423","45,791","64,809","48,335","16,474","90,471","85,279","5,192","123,373","93,113","30,260","58,340","5,857","52,483","53,593","187,407","51,674","65,798","69,935","37,678","66,129","18,335","37,334","10,460","21,684"," 156,588 "," 146,029 "," 24,438 "," 25,858 "," 71,436 "," 24,297 "," 21,704 "," 1,364,050 "," 39,537 "," 108,744 "," 1,294,843 ",,
2009,Q1,"1,333,065","385,381","342,874","75,087","42,892","47,047","28,161","13,354","38,222","75,731","9,438","12,942","42,507","60,509","43,660","16,849","65,980","60,811","5,169","126,730","95,754","30,976","58,158","7,605","50,553","60,511","184,460","46,394","64,839","73,227","31,398","60,690","16,206","34,524","9,960","21,514"," 149,504 "," 128,230 "," 26,869 "," 20,223 "," 57,451 "," 23,687 "," 27,058 "," 1,360,123 "," 29,391 "," 132,312 "," 1,257,202 ",,
2009,Q2,"1,316,233","345,007","295,973","67,436","36,969","34,684","27,919","11,838","22,594","72,295","9,281","12,957","49,034","55,817","40,008","15,809","68,653","63,240","5,413","128,580","93,282","35,298","57,533","5,980","51,553","55,044","194,182","47,151","78,889","68,142","33,243","60,778","17,290","32,224","11,264","21,518"," 161,658 "," 134,220 "," 24,354 "," 23,734 "," 62,711 "," 23,421 "," 22,476 "," 1,338,709 "," 28,638 "," 93,645 "," 1,273,702 ",,
2009,Q3,"1,338,885","348,810","305,298","63,566","41,134","41,659","30,184","11,681","22,527","70,516","11,504","12,527","43,512","50,714","32,439","18,275","72,437","66,605","5,832","128,372","93,537","34,835","56,284","5,618","50,666","56,279","200,611","50,646","83,977","65,988","28,632","65,965","17,884","35,071","13,010","21,644"," 166,520 "," 142,617 "," 27,915 "," 27,438 "," 65,441 "," 21,823 "," 23,090 "," 1,361,975 "," 32,851 "," 119,571 "," 1,275,255 ",,
2009,Q4,"1,418,322","338,914","286,233","58,222","36,051","33,592","27,377","14,433","17,363","76,457","9,863","12,875","52,681","65,727","48,278","17,449","96,943","90,957","5,986","127,734","94,854","32,880","58,231","5,230","53,001","53,631","225,594","62,502","87,032","76,060","32,489","66,795","16,536","39,053","11,206","23,415"," 178,508 "," 150,341 "," 25,884 "," 27,866 "," 75,768 "," 20,823 "," 24,719 "," 1,443,041 "," 32,657 "," 156,410 "," 1,319,288 ",,
2010,Q1,"1,479,629","424,418","377,397","82,575","48,171","46,466","32,411","14,732","47,119","82,780","10,303","12,840","47,021","61,996","43,892","18,104","65,176","59,345","5,831","132,752","98,032","34,720","65,093","6,707","58,386","68,012","237,919","66,117","91,438","80,364","31,445","66,766","16,933","39,775","10,058","20,930"," 179,965 "," 125,157 "," 27,825 "," 20,407 "," 57,534 "," 19,391 "," 26,998 "," 1,506,627 "," 37,787 "," 181,844 "," 1,362,570 ",,
2010,Q2,"1,452,112","395,921","341,429","78,822","41,941","36,428","29,243","13,497","28,869","88,873","10,345","13,411","54,492","56,264","39,325","16,939","70,864","65,480","5,384","139,450","97,887","41,563","65,618","6,405","59,213","62,510","234,892","70,381","91,314","73,197","34,425","67,078","19,171","36,275","11,632","22,307"," 165,715 "," 137,068 "," 24,175 "," 27,469 "," 65,809 "," 19,615 "," 24,276 "," 1,476,388 "," 37,849 "," 92,211 "," 1,422,026 ",,
2010,Q3,"1,482,891","394,517","345,711","76,501","38,082","44,138","32,214","13,573","26,140","89,514","12,745","12,804","48,806","51,161","33,297","17,864","73,419","67,319","6,100","135,376","97,517","37,859","62,952","5,899","57,053","64,277","232,174","72,815","87,848","71,511","30,332","73,002","18,884","40,212","13,906","21,967"," 187,852 "," 155,862 "," 28,796 "," 32,739 "," 72,280 "," 22,047 "," 24,812 "," 1,507,703 "," 37,882 "," 132,996 "," 1,412,589 ",,
2010,Q4,"1,552,561","374,854","316,917","69,226","38,512","37,754","30,739","17,791","21,479","78,976","10,618","11,822","57,937","65,645","48,066","17,579","102,165","95,804","6,361","134,077","98,789","35,288","64,387","5,505","58,882","61,403","253,235","80,942","93,486","78,807","34,945","75,030","17,695","45,297","12,038","23,001"," 199,024 "," 164,795 "," 29,374 "," 29,867 "," 78,655 "," 26,899 "," 25,489 "," 1,578,050 "," 37,072 "," 173,100 "," 1,442,022 ",,
2011,Q1,"1,626,363","447,988","397,677","92,388","41,500","53,460","35,398","18,246","54,832","78,982","10,985","11,886","50,311","62,001","42,783","19,218","69,401","62,885","6,516","135,402","101,895","33,507","73,408","6,969","66,439","79,805","276,626","93,438","99,407","83,781","33,101","75,830","18,228","46,417","11,185","21,672"," 204,835 "," 146,294 "," 31,799 "," 26,475 "," 65,241 "," 22,779 "," 29,226 "," 1,655,589 "," 40,621 "," 214,255 "," 1,481,955 ",,
2011,Q2,"1,621,861","432,213","377,626","86,444","52,878","44,313","29,183","17,850","32,554","89,338","11,650","13,416","54,587","57,372","39,200","18,172","76,254","69,891","6,363","141,304","101,614","39,690","73,091","5,782","67,309","72,866","260,395","76,218","105,948","78,229","36,849","78,162","20,850","44,502","12,810","22,939"," 211,855 "," 158,561 "," 26,305 "," 36,629 "," 72,142 "," 23,485 "," 27,678 "," 1,649,539 "," 37,668 "," 162,871 "," 1,524,336 ",,
2011,Q3,"1,634,922","428,320","378,298","82,115","51,632","50,545","32,343","19,594","26,586","89,081","13,485","12,917","50,022","51,811","33,155","18,656","79,105","72,130","6,975","140,709","100,910","39,799","70,193","5,795","64,398","74,570","261,654","87,028","96,930","77,696","32,519","82,577","20,735","47,234","14,608","21,945"," 221,717 "," 169,802 "," 31,881 "," 41,704 "," 72,388 "," 23,829 "," 28,127 "," 1,663,049 "," 40,917 "," 189,027 "," 1,514,939 ",,
2011,Q4,"1,592,905","417,907","359,500","74,035","42,468","40,942","31,895","26,472","19,755","98,352","11,073","14,508","58,407","64,273","45,586","18,687","104,757","98,417","6,340","141,788","104,129","37,659","66,831","5,370","61,461","69,366","216,418","55,376","85,321","75,721","36,556","75,194","17,140","46,797","11,257","22,416"," 198,355 "," 179,044 "," 31,574 "," 37,192 "," 85,715 "," 24,563 "," 27,327 "," 1,620,232 "," 37,752 "," 190,970 "," 1,467,014 ",,
2012,Q1,"1,708,249","470,493","415,892","100,834","42,248","56,881","35,302","20,712","56,494","81,265","12,015","10,141","54,601","65,228","45,948","19,280","71,610","65,167","6,443","149,583","107,831","41,752","76,545","6,931","69,614","83,127","270,888","86,665","104,241","79,982","35,919","83,245","19,676","51,310","12,259","21,585"," 219,827 "," 160,199 "," 34,132 "," 27,856 "," 73,823 "," 24,388 "," 32,821 "," 1,741,070 "," 44,380 "," 225,034 "," 1,560,416 ",,
2012,Q2,"1,738,973","445,845","386,842","93,832","48,129","43,126","28,297","17,062","35,399","95,712","12,356","12,929","59,003","58,907","41,369","17,538","77,007","70,596","6,411","154,962","105,679","49,283","82,126","6,124","76,002","72,430","296,547","109,629","106,113","80,805","39,218","87,904","24,415","49,382","14,107","22,511"," 228,666 "," 172,850 "," 27,170 "," 36,739 "," 83,366 "," 25,575 "," 28,936 "," 1,767,909 "," 47,166 "," 175,160 "," 1,639,915 ",,
2012,Q3,"1,783,786","452,577","398,172","87,961","48,953","49,807","34,356","19,380","31,635","98,919","14,135","13,026","54,405","54,481","35,768","18,713","81,009","73,989","7,020","157,183","108,517","48,666","75,391","6,395","68,996","77,984","315,748","131,133","103,793","80,822","34,806","90,933","22,098","53,820","15,015","21,499"," 231,028 "," 191,147 "," 33,385 "," 46,412 "," 85,505 "," 25,845 "," 28,398 "," 1,812,184 "," 46,593 "," 194,603 "," 1,664,174 ",,
2012,Q4,"1,886,374","431,816","367,266","77,228","42,950","44,522","28,627","28,450","23,541","93,715","11,062","17,171","64,550","71,341","51,181","20,160","107,524","100,723","6,801","158,628","107,875","50,753","73,508","5,765","67,743","76,852","352,706","157,454","112,635","82,617","40,126","93,971","22,196","59,174","12,601","23,056"," 245,869 "," 210,977 "," 36,553 "," 43,306 "," 104,134 "," 26,984 "," 31,979 "," 1,918,353 "," 48,184 "," 248,484 "," 1,718,053 ",,
2013,Q1,"1,882,576","492,076","433,001","102,501","43,621","57,425","37,805","20,829","61,375","86,267","12,112","11,066","59,075","67,934","46,136","21,798","71,744","64,721","7,023","157,567","108,543","49,024","78,432","7,431","71,001","82,724","343,379","147,035","110,947","85,397","37,847","92,628","21,367","58,851","12,410","21,576"," 254,673 "," 181,996 "," 39,616 "," 30,614 "," 85,812 "," 25,954 "," 33,604 "," 1,916,180 "," 46,337 "," 277,499 "," 1,685,018 ",,
2013,Q2,"1,870,367","470,556","405,672","94,373","52,696","48,549","30,008","16,245","38,424","100,197","12,413","12,767","64,884","63,679","43,304","20,375","74,483","67,327","7,156","165,181","109,192","55,989","77,254","6,000","71,254","82,675","313,147","116,463","112,192","84,492","40,467","91,924","22,421","55,023","14,480","24,339"," 265,916 "," 200,746 "," 29,449 "," 45,794 "," 98,299 "," 27,204 "," 31,205 "," 1,901,572 "," 43,599 "," 224,651 "," 1,720,520 ",,
2013,Q3,"1,869,697","470,091","413,815","88,830","53,683","54,278","41,811","19,118","31,609","96,825","14,757","12,904","56,276","53,028","33,054","19,974","80,648","72,631","8,017","161,972","111,018","50,954","77,289","6,178","71,111","83,490","309,647","114,339","111,270","84,038","35,999","99,005","22,469","59,428","17,108","23,683"," 268,524 "," 206,321 "," 35,637 "," 44,895 "," 98,608 "," 27,181 "," 31,639 "," 1,901,336 "," 47,903 "," 246,719 "," 1,702,520 ",,
2013,Q4,"1,879,620","425,558","364,168","75,813","44,166","42,314","32,190","28,906","22,324","89,235","11,816","17,404","61,390","71,346","50,081","21,265","106,637","99,651","6,986","161,429","112,762","48,667","75,215","5,781","69,434","80,465","299,052","102,917","113,440","82,695","40,863","99,839","21,760","63,812","14,267","24,800"," 269,432 "," 224,984 "," 36,287 "," 41,818 "," 118,278 "," 28,601 "," 35,618 "," 1,915,238 "," 50,861 "," 286,951 "," 1,679,148 ",,
2014,Q1,"1,856,355","502,595","443,771","106,235","44,394","54,153","40,210","23,229","63,749","88,233","11,861","11,707","58,824","66,420","44,456","21,964","68,432","61,240","7,192","162,392","114,232","48,160","78,313","7,757","70,556","83,777","278,699","88,797","105,996","83,906","36,936","94,470","21,949","60,131","12,390","22,225"," 265,152 "," 196,944 "," 42,629 "," 32,580 "," 95,120 "," 26,615 "," 37,798 "," 1,894,153 "," 49,003 "," 280,173 "," 1,662,983 ",,
2014,Q2,"1,896,766","481,660","416,396","99,009","55,892","46,247","30,484","18,830","39,776","99,791","12,992","13,375","65,264","63,856","43,066","20,790","73,710","66,184","7,526","177,874","115,806","62,068","78,664","6,145","72,519","86,870","286,632","82,748","117,313","86,571","40,247","93,372","22,959","56,242","14,171","24,982"," 269,880 "," 219,019 "," 31,832 "," 47,814 "," 110,783 "," 28,590 "," 31,956 "," 1,928,722 "," 54,826 "," 199,637 "," 1,783,911 ",,
2014,Q3,"1,929,028","494,873","437,064","92,518","62,313","54,291","43,052","19,783","33,349","102,453","15,549","13,756","57,809","59,349","37,475","21,874","80,543","71,977","8,566","174,008","116,647","57,361","81,435","5,950","75,485","87,641","286,322","80,419","119,449","86,454","36,554","98,060","22,257","58,210","17,593","23,716"," 276,305 "," 230,222 "," 38,513 "," 52,905 "," 109,580 "," 29,224 "," 34,818 "," 1,963,846 "," 51,867 "," 237,367 "," 1,778,346 ",,
2014,Q4,"1,961,709","438,061","372,504","78,859","49,790","40,659","31,033","29,460","22,015","90,425","12,405","17,858","65,557","75,207","53,591","21,616","111,279","103,810","7,469","173,137","118,690","54,447","80,328","5,618","74,710","85,622","277,439","79,113","113,838","84,488","42,713","100,515","20,177","65,393","14,945","24,540"," 308,793 "," 244,075 "," 40,240 "," 48,866 "," 125,634 "," 29,335 "," 39,680 "," 2,001,389 "," 59,306 "," 327,296 "," 1,733,399 ",,
2015,Q1,"1,941,876","504,997","442,237","108,128","43,847","51,800","37,469","22,940","64,020","90,425","11,947","11,661","62,760","69,427","47,789","21,638","71,435","63,739","7,696","173,699","122,339","51,360","81,747","8,023","73,724","88,030","262,916","81,602","93,436","87,878","38,901","98,399","20,304","65,131","12,964","23,077"," 311,329 "," 217,919 "," 47,868 "," 39,056 "," 103,835 "," 27,160 "," 38,224 "," 1,980,100 "," 56,370 "," 340,919 "," 1,695,551 ",,
2015,Q2,"1,989,584","492,932","426,886","99,883","57,002","46,887","29,103","18,766","41,473","105,549","14,032","14,191","66,046","64,508","43,194","21,314","76,467","68,366","8,101","183,439","120,833","62,606","82,294","6,351","75,943","91,545","268,065","71,494","103,506","93,065","42,256","96,413","19,666","62,924","13,823","26,535"," 325,987 "," 239,143 "," 36,699 "," 56,817 "," 115,865 "," 29,762 "," 32,256 "," 2,021,840 "," 60,969 "," 284,193 "," 1,798,616 ",,
2015,Q3,"2,013,208","513,607","454,943","92,523","62,947","57,446","42,644","19,389","34,629","114,839","16,072","14,454","58,664","61,177","39,099","22,078","84,027","74,924","9,103","180,621","122,269","58,352","84,934","6,210","78,724","91,486","263,321","70,983","102,351","89,987","37,781","97,530","17,126","64,121","16,283","25,393"," 324,719 "," 248,612 "," 41,955 "," 61,905 "," 114,339 "," 30,413 "," 34,115 "," 2,047,323 "," 58,050 "," 316,327 "," 1,789,046 ",,
2015,Q4,"2,015,324","450,407","386,614","79,637","51,557","43,660","31,480","28,542","23,037","97,970","11,908","18,823","63,793","75,402","54,003","21,399","116,258","108,276","7,982","180,845","125,341","55,504","83,944","6,101","77,843","87,702","271,109","78,388","109,677","83,044","43,215","101,184","16,778","70,212","14,194","26,374"," 316,181 "," 262,703 "," 43,445 "," 57,057 "," 131,915 "," 30,286 "," 40,130 "," 2,055,454 "," 64,546 "," 346,664 "," 1,773,336 ",,
2016,Q1,"2,031,178","520,280","458,006","109,993","44,826","56,915","38,799","21,919","66,102","95,500","11,461","12,491","62,274","72,343","48,681","23,662","76,322","68,186","8,136","180,903","127,155","53,748","82,403","8,341","74,062","94,468","256,711","79,734","87,815","89,162","38,693","111,103","18,585","80,335","12,183","24,669"," 339,040 "," 234,243 "," 50,269 "," 46,186 "," 109,627 "," 28,161 "," 37,263 "," 2,068,441 "," 67,194 "," 403,315 "," 1,732,320 ",,
2016,Q2,"2,089,835","520,208","452,921","101,520","59,646","47,642","30,124","17,107","42,960","125,870","13,948","14,104","67,287","71,087","44,751","26,336","79,805","71,203","8,602","189,824","126,314","63,510","84,811","6,576","78,235","94,156","271,686","79,294","100,785","91,607","42,323","110,257","18,993","77,702","13,562","28,223"," 345,200 "," 252,255 "," 38,302 "," 62,002 "," 121,844 "," 30,107 "," 31,192 "," 2,121,027 "," 78,665 "," 320,307 "," 1,879,385 ",,
2016,Q3,"2,113,043","533,460","472,844","94,045","64,498","59,620","44,423","18,258","37,009","123,016","16,049","15,926","60,616","64,131","40,835","23,296","86,252","76,776","9,476","183,312","127,413","55,899","84,278","5,785","78,493","94,512","268,103","77,292","102,149","88,662","39,170","116,850","17,225","83,694","15,931","26,107"," 353,481 "," 263,387 "," 43,592 "," 68,257 "," 119,934 "," 31,604 "," 34,740 "," 2,147,783 "," 67,446 "," 370,984 "," 1,844,245 ",,
2016,Q4,"2,076,832","464,724","400,706","81,552","53,016","44,088","34,419","26,178","24,945","104,765","12,458","19,285","64,018","74,330","47,257","27,073","121,110","113,379","7,731","183,091","132,010","51,081","83,321","5,870","77,451","95,186","273,080","71,581","116,436","85,063","45,378","115,844","18,713","83,747","13,384","26,650"," 318,236 "," 275,882 "," 44,621 "," 61,728 "," 138,055 "," 31,478 "," 42,753 "," 2,119,585 "," 76,718 "," 355,705 "," 1,840,598 ",,
2017,Q1,"2,134,004","536,844","475,208","110,719","46,220","58,485","40,992","23,032","71,106","100,072","11,843","12,739","61,636","71,720","45,800","25,920","77,693","69,328","8,365","185,918","134,548","51,370","85,100","8,484","76,616","97,707","286,559","91,681","103,119","91,759","41,189","120,628","19,359","90,230","11,039","25,607"," 359,338 "," 245,701 "," 54,394 "," 49,148 "," 112,199 "," 29,960 "," 38,588 "," 2,172,592 "," 77,009 "," 446,926 "," 1,802,675 ",,
2017,Q2,"2,176,136","510,765","446,703","102,384","60,850","50,196","30,857","17,666","44,553","111,644","14,227","14,326","64,062","71,151","45,007","26,144","81,215","72,438","8,777","192,573","133,208","59,365","86,941","6,764","80,177","97,275","298,180","91,277","111,686","95,217","45,632","117,864","20,837","84,146","12,881","29,397"," 377,182 "," 267,961 "," 41,831 "," 67,309 "," 125,726 "," 33,095 "," 32,188 "," 2,208,324 "," 83,808 "," 362,878 "," 1,929,254 ",,
2017,Q3,"2,252,728","539,363","477,097","92,534","63,411","62,044","46,149","18,183","36,553","125,035","16,673","16,515","62,266","67,055","41,977","25,078","86,538","77,149","9,389","192,043","133,719","58,324","85,165","5,934","79,231","100,371","289,375","88,298","110,470","90,607","41,192","122,774","18,784","87,904","16,086","27,163"," 423,217 "," 278,472 "," 46,401 "," 74,771 "," 122,389 "," 34,911 "," 36,770 "," 2,289,498 "," 74,788 "," 439,785 "," 1,924,501 ",,
2017,Q4,"2,248,440","474,426","405,980","80,486","52,136","44,479","33,744","26,373","26,094","110,084","12,244","20,340","68,446","77,287","47,882","29,405","126,066","118,061","8,005","196,186","141,212","54,974","85,712","5,935","79,777","98,429","317,843","98,627","127,585","91,631","47,313","124,807","19,889","91,837","13,081","28,821"," 378,895 "," 292,655 "," 46,384 "," 66,979 "," 144,710 "," 34,582 "," 41,982 "," 2,290,422 "," 85,853 "," 453,968 "," 1,922,307 ",,
2018,Q1,"2,273,294","547,601","481,845","109,408","44,677","59,744","41,428","22,789","74,882","103,841","11,602","13,474","65,756","73,646","44,941","28,705","79,991","71,342","8,649","193,419","140,736","52,683","89,105","8,956","80,149","104,583","305,125","99,573","109,915","95,637","43,756","129,804","19,887","98,313","11,604","27,013"," 417,582 "," 261,669 "," 56,941 "," 55,355 "," 116,567 "," 32,806 "," 38,036 "," 2,311,330 "," 80,029 "," 503,994 "," 1,887,365 ",,
2018,Q2,"2,267,962","517,605","449,180","103,551","59,359","50,905","32,123","16,671","47,266","110,129","14,601","14,575","68,425","73,578","44,700","28,878","82,785","73,782","9,003","201,206","139,151","62,055","92,243","7,270","84,973","103,517","325,883","106,499","120,817","98,567","49,181","123,248","21,184","89,921","12,143","30,967"," 385,076 "," 282,673 "," 41,612 "," 73,409 "," 133,610 "," 34,042 "," 32,743 "," 2,300,705 "," 101,062 "," 358,846 "," 2,042,921 ",,
2018,Q3,"2,342,489","541,970","480,733","97,564","61,991","62,307","46,118","17,091","39,063","122,171","16,549","17,879","61,237","61,137","37,571","23,566","89,792","80,258","9,534","200,420","140,293","60,127","90,154","6,404","83,750","104,320","323,625","106,249","123,522","93,854","42,548","128,064","17,839","93,842","16,383","29,568"," 436,215 "," 294,676 "," 47,099 "," 79,953 "," 131,478 "," 36,146 "," 38,328 "," 2,380,817 "," 80,652 "," 418,090 "," 2,043,379 ",,
2018,Q4,"2,354,104","484,717","413,464","83,725","52,057","42,844","36,942","26,180","26,773","110,743","12,908","21,292","71,253","80,824","49,530","31,294","129,787","121,711","8,076","204,941","146,463","58,478","88,109","6,168","81,941","102,261","343,479","107,695","140,051","95,733","48,573","132,228","19,792","99,699","12,737","30,277"," 395,271 "," 313,637 "," 48,789 "," 71,847 "," 156,083 "," 36,918 "," 43,730 "," 2,397,834 "," 91,310 "," 458,125 "," 2,031,019 ",,
2019,Q1,"2,351,218","568,764","500,500","115,446","48,668","61,569","42,001","22,763","77,462","106,132","12,240","14,219","68,264","74,081","45,318","28,763","80,521","71,770","8,751","206,403","146,509","59,894","92,118","9,064","83,054","110,482","318,093","110,331","110,669","97,093","44,722","137,580","19,825","106,357","11,398","28,656"," 412,032 "," 277,766 "," 61,449 "," 58,690 "," 123,158 "," 34,469 "," 38,898 "," 2,390,116 "," 83,004 "," 481,795 "," 1,991,325 ",,
2019,Q2,"2,384,666","554,076","481,638","108,978","63,392","51,064","32,162","16,638","51,293","127,323","15,235","15,553","72,438","75,880","46,915","28,965","87,068","77,889","9,179","214,460","143,621","70,839","95,377","7,344","88,033","109,220","339,804","110,098","126,252","103,454","50,496","126,598","22,730","92,274","11,594","32,479"," 400,083 "," 299,125 "," 44,358 "," 80,549 "," 139,191 "," 35,027 "," 33,439 "," 2,418,105 "," 99,686 "," 360,896 "," 2,156,895 ",,
2019,Q3,"2,473,877","581,777","515,349","104,484","65,663","63,808","46,610","17,415","41,946","138,748","17,245","19,430","66,428","61,567","37,918","23,649","91,557","81,739","9,818","208,064","144,258","63,806","92,492","6,478","86,014","108,628","323,449","104,697","121,625","97,127","44,214","132,100","19,464","96,094","16,542","30,788"," 491,335 "," 307,906 "," 49,492 "," 86,062 "," 135,734 "," 36,618 "," 39,071 "," 2,512,948 "," 76,316 "," 443,583 "," 2,145,681 ",,
2019,Q4,"2,466,581","505,760","436,438","90,621","53,169","46,326","37,137","25,326","29,269","117,467","13,238","23,885","69,322","80,269","51,112","29,157","133,599","125,326","8,273","210,761","151,859","58,902","89,209","6,216","82,993","107,164","334,453","97,004","138,047","99,402","50,717","131,775","21,710","97,710","12,355","31,502"," 467,469 "," 323,903 "," 52,842 "," 77,072 "," 155,026 "," 38,963 "," 46,772 "," 2,513,353 "," 85,325 "," 486,194 "," 2,112,484 ",,
2020,Q1,"2,250,757","594,116","523,685","125,957","51,938","63,877","43,506","24,360","80,451","106,484","12,379","14,733","70,431","74,975","47,622","27,353","74,397","66,404","7,993","213,748","150,792","62,956","92,045","9,040","83,005","116,271","285,205","91,964","105,306","87,935","45,485","127,160","22,452","92,983","11,725","28,623"," 316,397 "," 282,335 "," 63,430 "," 62,524 "," 125,332 "," 31,049 "," 37,922 "," 2,288,679 "," 58,367 "," 286,554 "," 2,060,492 ",,
2020,Q2,"1,959,678","568,556","498,235","117,868","66,761","53,866","34,154","17,970","52,300","123,489","15,590","16,237","70,321","67,289","38,826","28,463","67,643","60,270","7,373","215,580","146,583","68,997","87,592","6,638","80,954","119,377","201,311","63,493","89,814","48,004","50,879","76,578","23,078","42,304","11,196","31,389"," 195,745 "," 277,739 "," 43,549 "," 68,891 "," 136,381 "," 28,918 "," 30,621 "," 1,990,299 "," 15,000 "," 22,667 "," 1,982,632 ",,
2020,Q3,"2,097,459","603,504","538,768","109,956","69,500","66,301","49,047","18,498","41,992","145,405","17,706","20,363","64,736","58,042","34,828","23,214","71,551","63,717","7,834","215,126","147,208","67,918","87,543","6,297","81,246","113,876","266,707","87,199","112,584","66,924","44,687","107,926","19,123","73,265","15,538","30,460"," 214,948 "," 283,089 "," 49,781 "," 68,489 "," 134,146 "," 30,673 "," 38,655 "," 2,136,114 "," 21,498 "," 15,120 "," 2,142,492 ",,
2020,Q4,"2,076,909","525,223","456,294","90,770","56,916","47,622","38,311","27,320","28,922","128,238","13,276","24,919","68,929","77,816","48,669","29,147","105,382","98,668","6,714","213,346","155,423","57,923","86,450","5,943","80,507","113,820","292,727","97,556","125,218","69,953","51,092","107,516","21,403","74,234","11,879","31,471"," 171,506 "," 300,560 "," 52,746 "," 61,838 "," 152,455 "," 33,521 "," 42,337 "," 2,119,246 "," 23,020 "," 19,943 "," 2,122,323 ",,
2021,Q1,"2,017,515","612,773","542,544","126,356","54,433","65,016","45,073","27,274","83,903","112,836","12,336","15,317","70,229","73,620","46,016","27,604","58,596","52,248","6,348","210,359","155,021","55,338","91,060","8,776","82,284","117,263","257,043","85,892","102,683","68,468","46,413","106,482","20,876","74,054","11,552","29,189"," 138,403 "," 276,314 "," 67,474 "," 55,385 "," 123,301 "," 30,154 "," 36,621 "," 2,054,136 "," 20,105 "," 22,606 "," 2,051,635 ",,
2021,Q2,"2,093,087","582,827","512,239","118,635","69,519","53,722","35,446","20,267","55,152","126,786","15,792","16,920","70,588","66,171","37,948","28,223","58,789","52,449","6,340","223,555","151,606","71,949","89,363","6,750","82,613","129,972","253,040","84,415","118,324","50,301","51,436","95,898","21,065","63,622","11,211","31,865"," 222,930 "," 287,241 "," 45,800 "," 72,164 "," 139,976 "," 29,301 "," 29,915 "," 2,123,002 "," 19,463 "," 23,094 "," 2,119,371 ",,
2021,Q3,"2,055,791","610,892","545,822","110,754","70,360","66,691","52,486","20,997","42,954","142,752","17,682","21,146","65,070","56,933","34,301","22,632","66,914","60,379","6,535","224,899","150,358","74,541","86,994","5,972","81,022","129,464","239,512","68,446","120,515","50,551","45,201","99,142","16,974","67,909","14,259","30,790"," 187,496 "," 277,554 "," 48,947 "," 63,194 "," 138,554 "," 26,859 "," 36,567 "," 2,092,358 "," 26,256 "," 21,899 "," 2,096,715 ",,
