Table 3 :  Gross Domestic Product at Current Market Prices (Original),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.12) Human health and social work activities,"(2.2.13) Arts, entertainment and recreation",(2.2.14) Other service activities,(2.2.15) Activities of households as employers,(3) Gross Domestic Product,(4) Plus  Net primary income from the rest of the world,(5) Gross National Income,,,,,,,
2018,Q3,"276,748","276,748","3,788,529","1,349,462","105,945","1,124,621","103,286","15,610","2,439,067","111,206","611,716","241,781","226,454","95,349","327,791","97,850","70,856","66,928","247,319","164,140","89,480","27,291","54,071","6,835","4,065,277","-226,833","3,838,444",,,,,,,
2018,Q4,"362,893","362,893","3,892,645","1,367,207","112,148","1,137,681","100,433","16,945","2,525,438","90,572","724,672","235,705","237,369","108,709","294,368","107,989","74,039","66,007","237,990","164,687","89,692","28,231","58,509","6,899","4,255,538","-188,199","4,067,339",,,,,,,
2019,Q1,"366,270","366,270","3,854,609","1,307,262","98,345","1,083,764","107,759","17,394","2,547,347","115,557","687,144","249,775","256,376","99,114","303,964","103,779","68,812","67,091","244,178","169,052","92,195","27,281","56,097","6,932","4,220,879","-122,535","4,098,344",,,,,,,
2019,Q2,"346,119","346,119","3,808,053","1,313,416","107,382","1,053,055","135,247","17,732","2,494,637","100,885","643,410","246,888","249,537","104,282","324,118","100,612","74,238","66,358","244,278","169,026","86,727","26,011","51,310","6,957","4,154,172","-178,635","3,975,537",,,,,,,
2019,Q3,"288,548","288,548","3,888,671","1,324,529","101,674","1,097,095","109,362","16,398","2,564,142","114,723","643,490","248,030","254,707","105,530","337,887","101,217","72,111","69,505","258,915","169,271","95,302","31,080","55,279","7,095","4,177,219","-162,487","4,014,732",,,,,,,
2019,Q4,"371,911","371,911","3,964,993","1,309,451","104,419","1,093,362","94,114","17,556","2,655,542","87,911","770,034","239,252","270,611","122,488","301,163","112,092","75,528","67,766","244,920","167,422","96,667","32,322","60,283","7,083","4,336,904","-123,293","4,213,611",,,,,,,
2020,Q1,"345,660","345,660","3,793,447","1,274,682","90,385","1,058,463","108,670","17,164","2,518,765","103,496","721,134","232,603","188,765","100,977","318,783","107,110","70,864","60,256","253,065","173,547","96,197","29,454","55,261","7,253","4,139,107","-45,716","4,093,391",,,,,,,
2020,Q2,"327,201","327,201","3,212,857","1,060,901","70,414","859,062","114,451","16,974","2,151,956","106,808","568,738","145,481","114,039","103,818","321,403","102,672","67,181","46,788","252,605","170,631","89,118","13,901","42,006","6,767","3,540,058","-111,905","3,428,153",,,,,,,
2020,Q3,"296,762","296,762","3,563,383","1,210,564","84,525","1,012,399","97,680","15,960","2,352,819","124,651","608,560","182,364","138,925","105,684","341,993","103,836","66,760","52,053","266,706","175,383","98,882","29,032","50,570","7,420","3,860,145","-76,396","3,783,749",,,,,,,
2020,Q4,"393,356","393,356","3,722,774","1,245,661","78,818","1,072,371","76,375","18,097","2,477,113","86,994","749,322","191,132","157,664","124,127","307,372","114,587","70,614","52,883","254,183","172,264","103,700","29,906","54,951","7,414","4,116,130","-75,203","4,040,927",,,,,,,
2021,Q1,"362,821","362,821","3,678,615","1,281,429","84,375","1,085,629","93,779","17,646","2,397,186","117,327","685,928","191,977","117,572","104,828","326,700","109,277","69,220","51,732","261,028","178,116","98,757","26,563","51,041","7,120","4,041,436","-98,509","3,942,927",,,,,,,
2021,Q2,"355,181","355,181","3,559,175","1,291,908","94,185","1,064,110","114,700","18,913","2,267,267","111,571","581,294","168,572","134,194","109,993","334,904","105,420","69,497","47,738","261,011","174,396","93,443","26,498","41,717","7,019","3,914,356","-169,942","3,744,414",,,,,,,
2021,Q3,"300,460","300,460","3,625,634","1,266,676","90,499","1,057,749","101,215","17,213","2,358,958","120,636","611,871","183,701","112,292","112,808","360,119","104,841","65,059","51,025","272,385","178,470","105,202","26,674","46,733","7,142","3,926,094","-164,497","3,761,597",,,,,,,
2021,Q4,"388,627","388,627","3,911,488","1,392,881","88,502","1,187,445","97,985","18,949","2,518,607","88,027","750,116","200,205","146,614","130,768","325,802","116,896","70,438","51,207","259,886","176,123","112,487","28,753","54,002","7,283","4,300,115","-98,609","4,201,506",,,,,,,
2022,Q1,"394,969","394,969","3,887,291","1,390,098","93,400","1,160,728","117,319","18,651","2,497,193","113,492","695,635","201,481","153,143","112,057","346,087","111,391","72,409","54,054","258,774","183,634","106,726","26,992","53,603","7,715","4,282,260","-139,528","4,142,732",,,,,,,
2022,Q2,"382,801","382,801","3,826,181","1,401,547","96,830","1,141,384","143,460","19,873","2,424,634","110,271","589,516","181,116","193,543","118,561","361,672","108,900","75,013","51,430","269,981","182,051","103,248","27,418","44,913","7,001","4,208,982","-168,633","4,040,349",,,,,,,
2022,Q3,"327,269","327,269","4,014,668","1,451,642","98,163","1,211,237","124,249","17,993","2,563,026","121,697","624,452","208,389","183,894","120,619","392,607","109,056","70,675","56,899","283,528","190,445","113,407","28,455","51,075","7,828","4,341,937","-117,953","4,223,984",,,,,,,
2022,Q4,"409,750","409,750","4,136,696","1,423,147","99,859","1,184,421","119,288","19,579","2,713,549","93,044","771,698","228,659","210,995","138,082","355,519","120,390","74,954","58,163","263,845","181,248","122,254","29,794","57,152","7,752","4,546,446","-108,802","4,437,644",,,,,,,
2023,Q1,"412,946","412,946","4,118,268","1,379,953","89,181","1,131,277","140,511","18,984","2,738,315","119,867","732,599","230,012","237,057","117,453","382,252","113,798","76,883","61,271","268,914","189,761","115,954","28,422","56,381","7,691","4,531,214","-78,938","4,452,276",,,,,,,
2023,Q2,"383,917","383,917","3,960,319","1,345,626","82,619","1,068,966","174,012","20,029","2,614,693","111,504","631,872","197,228","249,122","123,012","400,585","111,645","78,879","56,342","275,433","187,107","108,543","28,656","46,785","7,980","4,344,236","-178,416","4,165,820",,,,,,,
2023,Q3,"329,734","329,734","4,134,636","1,388,291","88,325","1,144,071","137,386","18,509","2,746,345","123,201","665,125","225,140","234,708","124,297","435,247","111,297","73,792","61,312","287,934","194,176","119,260","29,653","53,108","8,095","4,464,370","-130,074","4,334,296",,,,,,,
2023,Q4,"412,748","412,748","4,240,629","1,368,910","92,444","1,151,259","104,746","20,461","2,871,719","84,990","818,597","247,777","256,896","141,408","375,353","121,721","77,389","60,679","273,677","185,766","128,789","31,591","58,657","8,429","4,653,377","-56,000","4,597,377",,,,,,,
2024,Q1,"433,251","433,251","4,209,016","1,349,526","91,455","1,118,471","119,911","19,689","2,859,490","98,693","755,827","254,634","282,694","125,735","394,863","115,063","78,560","62,609","276,476","196,485","122,311","29,791","56,772","8,977","4,642,267","-91,651","4,550,616",,,,,,,
2024,Q2,"419,414","419,414","4,129,878","1,393,503","100,074","1,116,112","156,063","21,254","2,736,375","105,635","648,968","216,810","290,386","130,615","412,349","113,263","82,146","58,755","281,345","193,681","115,114","30,400","48,228","8,680","4,549,292","-208,926","4,340,366",,,,,,,
2024,Q3,"356,329","356,329","4,281,137","1,392,103","95,459","1,150,582","126,803","19,259","2,889,034","142,590","689,401","249,129","273,084","129,468","434,405","112,360","76,476","63,477","294,340","201,900","128,679","31,331","53,483","8,911","4,637,466","-157,663","4,479,803",,,,,,,
2024,Q4,"452,427","452,427","4,402,436","1,365,003","92,814","1,143,665","107,288","21,236","3,037,433","101,294","849,033","273,859","303,690","150,947","371,306","124,194","80,656","62,376","286,277","191,953","140,984","33,500","58,100","9,264","4,854,863","-138,091","4,716,772",,,,,,,
2025,Q1,"457,121","457,121","4,328,284","1,343,138","87,517","1,123,255","111,797","20,569","2,985,146","114,840","801,919","269,620","306,882","131,242","385,210","116,626","81,450","63,457","283,307","202,326","131,748","31,482","56,198","8,839","4,785,405","-109,177","4,676,228",,,,,,,
2025,Q2,"429,744","429,744","4,183,487","1,365,144","87,600","1,114,284","141,591","21,669","2,818,343","114,268","697,923","227,021","299,350","136,316","392,306","114,839","83,752","59,326","286,393","198,392","121,353","31,148","47,571","8,385","4,613,231","-149,653","4,463,578",,,,,,,
2025,Q3,"346,418","346,418","4,293,393","1,348,861","89,799","1,119,544","119,881","19,637","2,944,532","135,588","742,039","255,996","278,364","134,285","410,311","114,440","77,384","63,626","296,022","207,028","135,033","31,836","53,558","9,022","4,639,811","-141,648","4,498,163",,,,,,,
2025,Q4,"427,181","427,181","4,506,108","1,361,669","90,092","1,148,994","100,013","22,570","3,144,439","112,440","920,684","283,458","308,360","154,520","358,604","125,928","81,801","62,136","291,559","196,822","147,670","33,144","57,826","9,487","4,933,289","-118,782","4,814,507",,,,,,,
2026,Q1r,"451,811","451,811","4,474,587","1,387,251","94,552","1,161,339","109,591","21,769","3,087,336","121,729","861,477","282,459","318,104","135,235","374,538","118,537","82,594","62,528","287,133","207,790","138,213","31,640","56,156","9,203","4,926,398","-83,394","4,843,004",,,,,,,
2026,Q2,"447,417","447,417","4,346,033","1,474,971","108,510","1,198,972","143,999","23,490","2,871,062","117,245","686,337","237,564","308,861","143,135","399,540","116,556","87,693","61,427","290,662","204,757","127,060","32,157","49,283","8,785","4,793,450","-153,286","4,640,164",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
