"Table 22.1 :  Exports and Imports of goods and services,  chain volume measures [reference year = 2002] (seasonally adjusted) q-o-q growth rate",,,,,,,
,,,,,,,
,, (1) Exports of goods and services,(1.1)Exports of goods ,(1.2)Exports of services ,(2)Imports of goods and services,(2.1)Imports of goods ,(2.2)Imports of services 
2010,Q3,-1.3 ,-3.1 ,11.8 ,1.1 ,2.8 ,-1.9 
2010,Q4,5.3 ,5.9 ,5.9 ,4.0 ,4.9 ,-2.3 
2011,Q1,8.0 ,7.8 ,10.1 ,7.1 ,8.3 ,6.2 
2011,Q2,-0.3 ,-1.4 ,2.1 ,0.4 ,-0.1 ,0.1 
2011,Q3,4.0 ,4.4 ,2.4 ,6.2 ,7.3 ,0.4 
2011,Q4,-16.3 ,-16.6 ,-12.7 ,-9.1 ,-11.2 ,-0.2 
2012,Q1,12.7 ,12.8 ,12.5 ,7.2 ,9.6 ,0.5 
2012,Q2,3.7 ,2.7 ,6.7 ,4.1 ,5.4 ,-0.5 
2012,Q3,0.5 ,0.2 ,2.6 ,-2.5 ,-3.2 ,-5.0 
2012,Q4,0.9 ,0.0 ,5.7 ,3.4 ,3.5 ,4.9 
2013,Q1,-0.3 ,-0.5 ,1.0 ,3.2 ,4.6 ,-0.4 
2013,Q2,0.1 ,-1.1 ,5.5 ,-1.2 ,-1.2 ,-0.2 
2013,Q3,1.5 ,0.7 ,4.7 ,-5.4 ,-7.5 ,0.5 
2013,Q4,0.3 ,0.9 ,-3.2 ,-1.0 ,-1.0 ,2.1 
2014,Q1,-2.2 ,-0.6 ,-7.4 ,-3.1 ,-3.6 ,-1.1 
2014,Q2,0.3 ,0.6 ,-2.5 ,0.3 ,0.7 ,-1.7 
2014,Q3,-1.4 ,-2.4 ,3.6 ,3.6 ,4.1 ,1.4 
2014,Q4,8.4 ,5.4 ,20.0 ,-1.9 ,-1.8 ,-2.0 
2015,Q1,-5.1 ,-4.9 ,-4.1 ,1.0 ,2.0 ,-2.9 
2015,Q2,1.0 ,-0.4 ,6.7 ,-1.7 ,-3.3 ,4.0 
2015,Q3,0.2 ,0.0 ,1.3 ,0.3 ,0.9 ,0.3 
2015,Q4,0.9 ,0.3 ,1.2 ,-1.3 ,-1.5 ,0.2 
2016,Q1,2.4 ,1.1 ,8.2 ,-1.7 ,-3.3 ,2.0 
2016,Q2,-1.2 ,-2.2 ,3.8 ,1.2 ,1.7 ,0.2 
2016,Q3,0.0 ,0.4 ,-1.6 ,0.9 ,0.8 ,2.5 
2016,Q4,0.4 ,2.3 ,-7.1 ,2.7 ,3.8 ,-0.2 
2017,Q1,3.0 ,2.1 ,6.5 ,0.6 ,-0.3 ,-0.5 
2017,Q2,0.6 ,-0.3 ,4.8 ,1.8 ,3.5 ,-1.6 
2017,Q3,3.6 ,4.1 ,2.1 ,1.3 ,1.6 ,-0.6 
2017,Q4,-0.5 ,0.3 ,-4.4 ,3.1 ,2.5 ,8.4 
2018,Q1,2.7 ,1.8 ,4.7 ,2.3 ,2.5 ,-4.8 
2018,Q2,0.5 ,1.5 ,-0.5 ,2.5 ,1.3 ,12.5 
2018,Q3,-3.0 ,-3.5 ,-1.2 ,2.4 ,2.9 ,0.5 
2018,Q4,1.0 ,1.6 ,-2.3 ,-2.3 ,-2.8 ,-0.1 
2019,Q1,-2.8 ,-3.8 ,-2.0 ,-3.7 ,-4.5 ,-3.2 
