"Table 16.1 : Gross fixed capital formation, chain volume measures  [reference year = 2002] classified by private and public Institutions (seasonally adjusted) q-o-q growth rate",,,,,,,,,,
,,,,,,,,,,
,,(1) Construction ,(1.1) Private (Construction),(1.2) Public (Construction),(2) Equipment ,(2.1) Private (Equipment),(2.2) Public (Equipment),(3) Gross fixed capital formation (By type of expenditure),(3.1) Private (Gross fixed capital formation),(3.2) Public (Gross fixed capital formation)
2009,Q1,0.8,-8.3,9.6,-23.1,-22.0,-25.7,-15.3,-19.2,-0.8
2009,Q2,8.8,3.3,9.8,-0.7,-7.1,28.9,3.5,-3.1,15.6
2009,Q3,-4.2,-1.6,-5.8,14.9,19.4,-5.3,6.7,11.9,-6.7
2009,Q4,0.6,5.1,0.1,7.5,10.4,-5.9,3.9,9.6,-3.7
2010,Q1,6.3,9.8,2.9,-3.2,-2.0,-5.1,0.8,0.4,2.6
2010,Q2,5.6,-1.8,9.1,0.0,0.9,-18.9,2.1,1.4,2.4
2010,Q3,-2.3,1.7,-4.1,5.4,5.3,10.3,2.9,3.4,-1.7
2010,Q4,-1.7,2.7,-5.1,5.0,5.6,-0.1,1.8,5.2,-6.1
2011,Q1,-2.4,4.3,-8.3,5.1,3.8,26.1,3.0,3.6,3.2
2011,Q2,-2.6,-2.5,-3.9,2.4,3.6,-15.3,0.3,2.6,-7.7
2011,Q3,2.8,2.3,5.5,-4.1,-4.3,-4.7,-1.0,-3.1,3.1
2011,Q4,-2.0,2.6,-9.7,-4.2,-3.2,-5.9,-4.1,-1.5,-10.5
2012,Q1,2.0,1.0,4.8,12.9,14.4,-3.1,9.5,10.5,3.6
2012,Q2,2.9,3.7,2.4,4.2,2.3,22.9,3.1,2.7,7.6
2012,Q3,6.8,1.7,13.4,-2.3,-4.2,6.8,1.8,-2.9,13.7
2012,Q4,3.1,2.1,2.3,7.8,10.6,2.0,5.5,9.8,-0.5
2013,Q1,-3.3,1.6,-7.5,-0.8,-2.4,7.1,-1.3,-2.4,-2.3
2013,Q2,-1.6,0.8,-3.6,-2.2,-3.3,6.2,-2.6,-2.7,-0.6
2013,Q3,-1.4,-0.5,-1.3,-5.8,-3.4,-30.0,-3.6,-3.0,-9.5
2013,Q4,-3.7,-5.4,-5.5,-5.8,-8.3,44.8,-5.8,-6.6,6.2
2014,Q1,-2.5,-1.5,-0.6,1.1,4.1,-31.2,0.4,1.9,-11.7
2014,Q2,5.0,2.1,7.9,5.5,5.8,4.1,4.9,5.1,7.2
2014,Q3,2.1,1.3,3.6,5.3,5.2,-0.8,4.6,3.9,3.3
2014,Q4,-1.4,1.1,-7.3,-7.5,-7.7,11.1,-6.0,-4.9,-4.1
2015,Q1,10.1,-3.5,30.4,2.2,0.9,3.2,5.2,-0.8,23.4
2015,Q2,2.0,2.8,-0.1,-3.3,-3.3,-3.2,-1.5,-1.8,-1.1
2015,Q3,1.2,-0.5,3.2,1.3,-1.2,17.1,1.7,-0.9,6.5
2015,Q4,7.1,0.4,11.4,2.4,5.1,-3.4,3.0,4.2,7.6
2016,Q1,-0.4,4.2,-1.6,0.2,0.2,-8.7,0.5,0.3,-3.4
2016,Q2,1.8,-6.2,6.7,-2.9,-3.1,-1.9,-1.2,-3.2,4.0
2016,Q3,-2.1,2.0,-4.5,0.5,-0.3,5.8,0.1,0.5,-2.6
2016,Q4,6.3,0.5,9.5,1.5,1.8,8.5,2.1,1.2,11.0
2017,Q1,-3.6,-0.3,-4.4,1.7,1.5,-3.1,0.3,1.0,-4.3
2017,Q2,-4.1,1.1,-8.8,2.5,2.9,-2.0,-0.2,2.5,-8.6
2017,Q3,0.2,-2.2,2.3,-0.8,-0.2,-4.2,0.0,-0.2,1.0
2017,Q4,2.2,-1.0,4.2,0.5,0.0,9.1,1.0,-0.3,7.0
2018,Q1,3.1,6.5,1.9,1.6,0.4,8.6,2.2,1.5,3.0
2018,Q2,-2.4,0.2,-5.6,3.8,4.3,-1.7,1.1,3.3,-5.7
2018,Q3,1.0,-0.2,2.1,-1.3,0.1,-10.2,-0.3,0.4,-0.2
2018,Q4,3.2,-0.1,6.2,-0.4,-0.3,-2.2,1.1,-0.5,4.1
2019,Q1,1.8,1.8,2.2,0.5,0.2,1.3,0.9,0.9,2.1
2019,Q2,-3.2,-1.2,-5.4,3.4,3.5,2.3,0.6,2.2,-4.5
2019,Q3,-0.2,-1.5,0.5,-0.8,-0.4,-2.2,-0.5,-0.1,1.2
2019,Q4,0.1,2.6,-1.2,-1.3,-1.4,-1.9,-0.4,-1.6,-2.3
2020,Q1,-5.6,-2.8,-7.4,-6.5,-7.7,3.6,-6.5,-6.0,-4.8
2020,Q2,12.3,0.3,21.7,-6.5,-8.2,6.4,0.2,-6.1,18.9
2020,Q3,2.6,0.0,4.2,4.3,3.6,7.9,4.0,3.2,4.5
2020,Q4,-7.4,-1.6,-10.3,5.7,9.7,-18.6,0.3,5.6,-13.4
2021,Q1,6.6,1.6,8.7,0.2,-1.4,13.5,1.9,0.2,11.1
2021,Q2,0.5,-0.4,1.8,1.0,1.2,-1.4,1.3,0.6,2.1
2021,Q3,-4.1,-1.0,-6.1,-5.4,-6.2,1.2,-4.6,-4.7,-6.2
2021,Q4,-2.7,-1.4,-2.9,4.0,5.7,-3.2,1.3,3.2,-3.5
2022,Q1,2.2,-4.7,5.0,3.4,3.5,-2.3,2.5,2.7,5.4
2022,Q2,0.4,6.1,-2.0,0.9,1.7,-8.0,1.0,2.1,-3.3
2022,Q3,-2.6,1.4,-5.5,1.5,1.5,5.3,0.2,1.4,-5.1
2022,Q4,3.1,-1.1,6.9,-1.6,-1.8,1.6,0.0,-1.7,6.3
2023,Q1,4.5,-3.9,8.4,0.9,0.5,2.4,1.8,0.2,8.4
2023,Q2,-3.6,6.2,-8.3,1.3,2.5,-12.8,-0.3,2.7,-9.8
2023,Q3,-4.0,2.6,-8.7,1.2,1.7,0.9,-0.3,1.8,-7.7
2023,Q4,-6.5,-1.6,-11.4,-0.7,0.1,-17.2,-2.3,0.0,-11.5
2024,Q1,-2.9,-1.0,-3.3,-0.7,-1.1,10.0,-1.5,-1.0,-1.0
2024,Q2,9.1,-1.4,18.4,-5.7,-8.3,19.9,-1.3,-6.7,18.9
2024,Q3,15.4,-1.6,27.5,5.1,7.1,-6.2,9.6,4.6,18.9
2024,Q4,-4.3,0.2,-5.6,1.3,0.7,7.8,-2.3,0.8,-1.5
2025,Q1,-3.0,-1.3,-4.7,-0.6,0.4,-12.7,-0.9,0.3,-8.8
2025,Q2,1.4,0.3,2.1,-0.5,-1.4,4.0,0.5,-0.9,3.8
2025,Q3,0.8,-0.3,0.7,5.1,6.0,3.0,3.9,4.1,0.9
2025,Q4,11.4,6.0,17.0,2.5,1.7,11.5,4.2,2.9,18.0
2026,Q1,-6.3,-2.7,-9.1,4.1,4.7,-4.5,1.2,3.6,-10.8
2026,Q2,-4.5,-1.6,-6.6,2.4,3.6,-15.3,0.0,2.5,-7.3
