Table 5.1 :  Gross Domestic Product at Current Market Prices (Seasonally Adjusted) q-o-q Growth Rate,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25)
1998,Q4,10.7,10.7,0.6,0.4,-11.8,1.5,-1.5,-1.6,0.2,-1.8,-0.7,4.1,-0.3,-14.9,-12.7,6.6,5.6,21.1,5.7,9.5,3.0,0.9,1.1,-0.9,2.2
1999,Q1,-10.4,-10.4,1.2,1.4,-2.3,1.9,-9.5,5.2,2.0,-12.3,7.6,1.3,5.8,12.4,-6.7,1.9,13.2,11.2,-2.0,-9.0,1.0,8.4,5.7,-2.5,-0.1
1999,Q2,-5.3,-5.3,0.7,1.3,6.2,2.1,-3.9,0.7,0.2,18.6,-7.9,0.0,-1.4,1.3,-1.5,4.9,8.5,-8.4,3.5,4.3,0.6,3.3,2.0,0.2,-0.3
1999,Q3,-1.9,-1.9,3.4,4.8,5.4,4.8,4.5,6.2,2.5,-7.9,3.0,4.1,2.9,3.4,5.6,9.6,4.1,-2.0,1.9,0.4,3.3,2.8,4.9,1.1,3.2
1999,Q4,-1.4,-1.4,2.1,3.9,17.7,2.8,8.2,1.4,0.5,-3.1,0.3,0.2,2.7,12.3,6.2,0.4,-7.6,-1.5,1.3,-0.1,-0.1,1.1,1.1,2.9,1.3
2000,Q1,1.0,1.0,0.5,-1.3,4.5,-2.6,-0.4,3.1,2.4,4.9,1.1,-1.5,1.9,-3.4,16.5,0.9,18.1,15.5,0.5,1.9,1.1,-1.8,-5.9,2.9,1.0
2000,Q2,5.0,5.0,0.7,3.1,1.8,3.7,5.3,3.6,-1.0,-12.6,0.4,2.7,1.3,0.5,-18.5,-3.3,6.6,12.1,1.1,-0.9,-2.1,1.6,0.4,3.4,0.9
2000,Q3,1.0,1.0,1.8,1.8,4.1,2.2,-7.1,0.7,1.7,-4.5,1.9,2.6,2.1,3.1,5.9,-3.1,13.0,6.6,1.8,1.1,6.0,1.8,4.7,2.4,1.8
2000,Q4,-2.2,-2.2,3.5,3.3,13.2,1.6,17.5,4.1,3.3,-3.0,1.9,2.7,1.7,4.0,5.8,1.0,33.5,7.2,3.7,2.5,1.9,-1.5,-0.6,1.6,2.6
2001,Q1,0.7,0.7,-0.1,-1.2,-9.7,-1.3,1.9,0.6,1.0,12.5,1.7,1.0,1.5,6.7,15.9,-3.0,-29.9,-0.4,-1.3,-1.9,0.9,-2.5,2.8,3.9,0.3
2001,Q2,4.3,4.3,2.3,2.9,12.4,2.7,2.2,0.1,1.7,-8.7,0.6,4.0,0.7,5.6,3.3,-0.9,8.6,9.8,1.8,1.7,1.2,0.5,2.5,0.8,2.5
2001,Q3,2.2,2.2,0.0,-0.1,-2.3,-0.7,6.2,5.9,0.0,10.9,-0.8,-1.3,-0.4,4.1,-9.2,1.4,-1.2,1.0,2.4,2.5,3.9,-2.6,-1.7,-0.2,0.1
2001,Q4,2.9,2.9,0.0,-1.5,-6.5,-0.7,-4.2,-4.0,0.9,-0.4,0.1,-3.8,0.0,4.1,16.2,2.5,-5.4,-3.0,2.4,1.2,2.8,-2.7,0.5,0.8,0.1
2002,Q1,3.5,3.5,3.5,3.5,5.6,3.0,6.3,-1.0,3.5,5.2,1.4,5.7,4.9,-2.3,9.0,5.7,0.3,5.2,2.6,-0.6,2.8,2.9,2.2,-2.4,3.6
2002,Q2,3.5,3.5,2.8,4.3,5.5,5.4,-4.7,2.5,2.1,3.3,0.4,3.6,-0.9,0.1,2.4,1.3,10.4,22.6,1.0,1.1,0.6,-0.1,-0.4,-2.6,2.9
2002,Q3,-0.7,-0.7,1.5,4.5,2.2,4.9,2.7,0.0,-0.4,-6.1,0.2,-0.1,-1.0,1.3,0.0,1.7,1.8,-5.4,-0.6,-0.8,0.0,1.7,4.1,0.6,1.2
2002,Q4,-2.6,-2.6,3.0,3.9,-1.3,4.1,6.5,1.8,2.4,0.6,4.0,0.5,1.8,11.0,0.8,2.3,3.0,0.8,2.4,0.4,2.1,-0.5,2.1,0.8,2.4
2003,Q1,17.0,17.0,1.9,3.6,8.9,3.8,-3.8,1.4,0.8,-0.1,-0.8,0.9,2.9,-3.2,4.1,1.2,4.1,6.3,0.7,1.7,-2.9,-0.7,-1.0,9.6,3.2
