Table 9 :  Composition of private final consumption expenditure at current market prices (seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Individual consumption expenditure of households , (1.1)Food and Non-alcoholic,(1.1.1) Food ,(1.1.1.1) Bread and Cereals,(1.1.1.2)Meat (5),(1.1.1.3)Fish (6),"(1.1.1.4)Milk, Cheese and Eggs",(1.1.1.5)Oil and Fat,(1.1.1.6)Fruit ,(1.1.1.7)Vegetables ,"(1.1.1.8) Sugar, Jam, Honey, Chocolate and Confectionery ",(1.1.1.9) Food Products n.e.c. ,(1.1.2) Non-alcoholic Beverages,"(1.2)Alcoholic Beverages, Tobacco and Narcotic ",(1.2.1) Alcoholic Beverages ,(1.2.2)Tobacco ,(1.3)Clothing and Footwear ,(1.3.1)Clothing,(1.3.2) Footwear ,"(1.4)Housing, Water, Electricity, Gas and Other Fuels ",(1.4.1)Housing and Water ,"(1.4.2)Electricity, Gas and Other Fuels ","(1.5) Furnishings, Households Equipment and Routine Maintenance of the House ","(1.5.1)Furniture and Furnishings, Carpets and Other Floor Covering ",(1.5.2) Households Equipment and Routine Maintenance of the House ,(1.6) Health ,(1.7) Transport ,(1.7.1) Purchase of Vehicles ,(1.7.2) Operation of Personal Transport Equipment,(1.7.3) Transport Services ,(1.8) Communication ,(1.9) Recreation and Culture ,"(1.9.1) Audio-visual, Photographic and Information Processing Equipment",(1.9.2)Other Recreation and Entertainment,"(1.9.3) Newspaper, Books and Stationery",(1.10) Education,(1.11) Restaurants and Hotels ,(1.12) Miscellaneous Goods and Services ,(1.12.1) Personal Care ,(1.12.2)Personal Effects n.e.c. ,(1.12.3)Financial Services ,(1.12.4)Other Services n.e.c. ,(2)Individual consumption expenditure by non-profit institution serving households (NPISHs),(3)Private final consumption expenditure in The Domestic Market ,(4)Plus : Expenditure of Resident Abroad ,(5)Less : Expenditure of Non-resident in The Country ,(6)Private final consumption expenditure ,,,,,,
2019,Q4," 2,430,300 "," 556,914 "," 489,300 "," 109,351 "," 58,050 "," 56,715 "," 40,408 "," 20,812 "," 52,002 "," 119,743 "," 14,612 "," 18,682 "," 68,607 "," 72,392 "," 45,064 "," 27,280 "," 95,673 "," 86,864 "," 8,670 "," 211,512 "," 148,653 "," 62,655 "," 91,137 "," 7,190 "," 83,958 "," 110,187 "," 309,870 "," 95,715 "," 122,415 "," 93,806 "," 47,980 "," 127,450 "," 21,623 "," 92,502 "," 12,972 "," 30,957 "," 464,127 "," 305,858 "," 53,561 "," 78,153 "," 138,131 "," 37,120 "," 40,757 "," 2,470,686 "," 77,071 "," 408,263 "," 2,104,133 ",,,,,,
2020,Q1," 2,277,510 "," 564,625 "," 495,056 "," 111,072 "," 60,640 "," 57,437 "," 40,681 "," 21,612 "," 50,889 "," 119,029 "," 14,666 "," 18,396 "," 69,509 "," 71,166 "," 44,161 "," 26,876 "," 89,632 "," 81,485 "," 8,112 "," 216,773 "," 149,022 "," 67,788 "," 90,884 "," 7,130 "," 83,715 "," 116,615 "," 293,430 "," 91,181 "," 117,262 "," 80,853 "," 47,665 "," 122,491 "," 21,991 "," 87,530 "," 12,915 "," 30,423 "," 348,503 "," 297,164 "," 51,924 "," 74,260 "," 139,254 "," 31,858 "," 37,730 "," 2,315,449 "," 58,806 "," 239,740 "," 2,130,064 ",,,,,,
2020,Q2," 1,969,506 "," 569,840 "," 501,706 "," 111,684 "," 60,501 "," 58,021 "," 41,237 "," 21,933 "," 50,674 "," 123,260 "," 14,738 "," 18,792 "," 68,296 "," 68,008 "," 41,110 "," 27,106 "," 80,792 "," 73,545 "," 7,428 "," 211,321 "," 148,688 "," 63,116 "," 86,313 "," 6,716 "," 79,605 "," 115,614 "," 204,603 "," 63,530 "," 90,536 "," 52,283 "," 47,922 "," 81,342 "," 21,387 "," 46,628 "," 12,244 "," 30,158 "," 197,626 "," 279,674 "," 51,231 "," 63,095 "," 136,481 "," 29,517 "," 36,598 "," 2,005,417 "," 15,317 "," 27,610 "," 1,944,829 ",,,,,,
2020,Q3," 2,095,767 "," 579,508 "," 509,808 "," 111,851 "," 61,789 "," 58,068 "," 41,434 "," 22,146 "," 50,822 "," 129,778 "," 14,818 "," 19,291 "," 68,470 "," 69,252 "," 42,051 "," 27,070 "," 77,322 "," 69,828 "," 7,463 "," 215,481 "," 150,286 "," 65,139 "," 88,276 "," 7,204 "," 81,141 "," 114,004 "," 278,862 "," 88,908 "," 114,514 "," 74,657 "," 48,233 "," 110,169 "," 21,542 "," 75,797 "," 12,695 "," 30,424 "," 192,677 "," 284,974 "," 53,338 "," 63,868 "," 136,941 "," 31,189 "," 38,142 "," 2,134,170 "," 23,242 "," 19,315 "," 2,127,314 ",,,,,,
2020,Q4," 2,043,916 "," 578,037 "," 510,979 "," 109,865 "," 62,645 "," 58,417 "," 41,588 "," 22,565 "," 51,658 "," 129,848 "," 14,688 "," 19,364 "," 68,389 "," 69,537 "," 42,289 "," 27,167 "," 74,242 "," 67,315 "," 6,844 "," 214,096 "," 151,833 "," 62,000 "," 88,205 "," 6,806 "," 81,370 "," 116,641 "," 268,225 "," 97,031 "," 110,656 "," 63,023 "," 48,305 "," 103,173 "," 21,251 "," 69,490 "," 12,570 "," 30,882 "," 173,100 "," 284,267 "," 53,230 "," 63,110 "," 136,116 "," 31,808 "," 36,866 "," 2,080,894 "," 20,714 "," 16,836 "," 2,109,116 ",,,,,,
2021,Q1," 2,051,364 "," 581,967 "," 513,110 "," 111,285 "," 62,928 "," 58,169 "," 42,357 "," 23,936 "," 53,239 "," 126,792 "," 14,675 "," 19,335 "," 68,827 "," 69,234 "," 42,063 "," 27,071 "," 71,196 "," 64,754 "," 6,451 "," 214,023 "," 153,411 "," 59,721 "," 89,569 "," 6,912 "," 82,645 "," 119,189 "," 263,647 "," 84,739 "," 115,387 "," 61,632 "," 48,611 "," 102,166 "," 20,167 "," 69,643 "," 12,578 "," 31,017 "," 161,065 "," 287,634 "," 54,716 "," 64,496 "," 136,545 "," 30,483 "," 36,536 "," 2,088,109 "," 20,424 "," 18,633 "," 2,118,461 ",,,,,,
2021,Q2," 2,085,050 "," 584,536 "," 516,041 "," 112,324 "," 62,820 "," 58,036 "," 42,751 "," 24,836 "," 53,104 "," 126,733 "," 14,900 "," 19,624 "," 68,659 "," 67,622 "," 41,155 "," 26,759 "," 71,203 "," 64,925 "," 6,415 "," 218,666 "," 153,659 "," 65,532 "," 88,427 "," 6,881 "," 81,568 "," 124,486 "," 259,791 "," 84,027 "," 119,348 "," 57,577 "," 48,471 "," 102,439 "," 19,629 "," 70,718 "," 12,112 "," 30,820 "," 209,531 "," 288,843 "," 54,073 "," 64,980 "," 140,599 "," 29,660 "," 36,033 "," 2,120,731 "," 20,291 "," 27,814 "," 2,081,502 ",,,,,,
2021,Q3," 2,058,740 "," 587,176 "," 516,765 "," 112,790 "," 62,838 "," 58,469 "," 44,176 "," 25,310 "," 51,846 "," 127,405 "," 14,754 "," 19,981 "," 69,119 "," 68,509 "," 41,732 "," 26,629 "," 72,425 "," 66,139 "," 6,362 "," 224,901 "," 153,580 "," 71,414 "," 87,818 "," 6,858 "," 80,996 "," 129,778 "," 250,840 "," 69,708 "," 121,483 "," 57,976 "," 48,843 "," 101,803 "," 19,296 "," 70,531 "," 11,833 "," 30,585 "," 169,353 "," 282,450 "," 53,147 "," 60,722 "," 141,068 "," 27,960 "," 35,742 "," 2,094,628 "," 26,947 "," 28,335 "," 2,082,611 ",,,,,,
2021,Q4," 2,130,683 "," 604,496 "," 536,310 "," 110,361 "," 64,523 "," 58,960 "," 42,969 "," 25,812 "," 51,949 "," 143,945 "," 15,025 "," 20,295 "," 69,778 "," 69,658 "," 42,559 "," 27,017 "," 74,472 "," 67,504 "," 6,909 "," 227,710 "," 155,812 "," 71,718 "," 89,899 "," 7,051 "," 82,816 "," 131,433 "," 282,849 "," 89,891 "," 133,338 "," 61,125 "," 48,670 "," 101,078 "," 20,670 "," 68,652 "," 11,872 "," 29,968 "," 174,021 "," 294,821 "," 56,763 "," 64,974 "," 142,948 "," 30,210 "," 35,961 "," 2,166,656 "," 25,425 "," 30,705 "," 2,174,086 ",,,,,,
2022,Q1," 2,225,240 "," 616,121 "," 544,713 "," 115,304 "," 73,370 "," 60,057 "," 45,450 "," 27,090 "," 52,797 "," 137,482 "," 15,491 "," 20,480 "," 71,387 "," 70,633 "," 42,668 "," 27,978 "," 72,966 "," 66,225 "," 6,750 "," 231,738 "," 156,480 "," 75,383 "," 90,206 "," 7,146 "," 83,009 "," 133,950 "," 302,846 "," 96,043 "," 143,825 "," 63,864 "," 48,055 "," 103,543 "," 20,342 "," 71,275 "," 11,987 "," 30,505 "," 215,256 "," 300,622 "," 56,879 "," 67,567 "," 143,563 "," 31,620 "," 36,523 "," 2,261,934 "," 32,702 "," 57,743 "," 2,257,647 ",,,,,,
2022,Q2," 2,374,281 "," 628,267 "," 555,556 "," 116,919 "," 76,308 "," 60,632 "," 47,158 "," 28,679 "," 54,287 "," 133,252 "," 16,046 "," 20,848 "," 72,759 "," 70,593 "," 43,094 "," 27,641 "," 73,734 "," 67,006 "," 6,776 "," 230,725 "," 157,522 "," 73,391 "," 90,947 "," 7,217 "," 83,754 "," 137,505 "," 319,805 "," 92,222 "," 158,619 "," 68,909 "," 48,426 "," 107,656 "," 21,511 "," 73,572 "," 12,423 "," 30,775 "," 333,217 "," 305,942 "," 57,981 "," 69,130 "," 147,461 "," 31,509 "," 37,160 "," 2,411,514 "," 49,710 "," 96,405 "," 2,350,255 ",,,,,,
2022,Q3," 2,469,681 "," 647,972 "," 571,564 "," 118,758 "," 78,677 "," 62,094 "," 47,445 "," 28,934 "," 55,572 "," 142,944 "," 16,133 "," 21,170 "," 75,139 "," 71,760 "," 44,132 "," 27,581 "," 75,896 "," 69,086 "," 6,844 "," 237,519 "," 158,896 "," 78,298 "," 92,164 "," 7,347 "," 84,870 "," 139,456 "," 326,701 "," 94,377 "," 155,138 "," 74,669 "," 48,683 "," 109,305 "," 20,734 "," 76,659 "," 11,925 "," 31,905 "," 367,742 "," 309,956 "," 58,091 "," 69,296 "," 151,957 "," 30,888 "," 38,052 "," 2,507,699 "," 57,870 "," 156,872 "," 2,418,407 ",,,,,,
2022,Q4," 2,523,572 "," 662,423 "," 586,283 "," 120,311 "," 78,835 "," 63,053 "," 48,999 "," 28,096 "," 57,545 "," 150,277 "," 16,191 "," 21,647 "," 77,444 "," 72,960 "," 45,115 "," 27,684 "," 76,884 "," 69,771 "," 7,094 "," 249,039 "," 159,674 "," 90,496 "," 91,256 "," 7,263 "," 83,969 "," 141,042 "," 320,920 "," 89,035 "," 152,359 "," 79,729 "," 49,559 "," 110,693 "," 20,522 "," 77,796 "," 12,412 "," 31,917 "," 406,784 "," 314,581 "," 59,585 "," 68,831 "," 154,927 "," 31,368 "," 38,717 "," 2,562,136 "," 69,591 "," 166,739 "," 2,457,936 ",,,,,,
2023,Q1," 2,586,538 "," 670,410 "," 591,558 "," 124,112 "," 77,482 "," 63,680 "," 50,912 "," 26,445 "," 57,729 "," 155,992 "," 16,332 "," 21,973 "," 78,968 "," 72,900 "," 44,976 "," 28,069 "," 76,361 "," 69,512 "," 6,885 "," 245,106 "," 160,537 "," 84,694 "," 90,139 "," 7,133 "," 82,979 "," 141,923 "," 327,777 "," 100,011 "," 149,698 "," 78,341 "," 48,950 "," 113,127 "," 21,374 "," 78,915 "," 12,669 "," 31,826 "," 456,075 "," 323,983 "," 60,883 "," 70,590 "," 159,493 "," 32,276 "," 38,546 "," 2,625,197 "," 79,991 "," 200,400 "," 2,501,487 ",,,,,,
2023,Q2," 2,666,847 "," 670,488 "," 590,105 "," 124,831 "," 74,922 "," 64,466 "," 51,950 "," 24,800 "," 58,863 "," 150,828 "," 16,328 "," 22,304 "," 80,320 "," 73,664 "," 46,003 "," 27,693 "," 76,983 "," 70,072 "," 6,936 "," 256,477 "," 162,050 "," 93,678 "," 90,186 "," 7,073 "," 83,113 "," 144,437 "," 327,690 "," 100,439 "," 145,662 "," 81,150 "," 49,599 "," 114,420 "," 21,113 "," 81,230 "," 12,444 "," 31,919 "," 493,410 "," 327,056 "," 61,848 "," 69,765 "," 164,138 "," 31,818 "," 38,001 "," 2,705,282 "," 88,322 "," 235,834 "," 2,561,723 ",,,,,,
2023,Q3," 2,746,636 "," 676,319 "," 593,603 "," 127,223 "," 73,979 "," 65,134 "," 52,882 "," 24,771 "," 59,897 "," 150,135 "," 16,535 "," 22,516 "," 81,943 "," 74,708 "," 46,994 "," 27,766 "," 78,491 "," 71,528 "," 6,978 "," 255,995 "," 162,965 "," 92,361 "," 90,949 "," 7,189 "," 83,809 "," 144,506 "," 340,503 "," 97,292 "," 155,487 "," 86,651 "," 50,390 "," 115,944 "," 22,397 "," 81,066 "," 12,464 "," 32,324 "," 544,567 "," 332,990 "," 62,640 "," 70,093 "," 168,650 "," 31,658 "," 38,788 "," 2,785,285 "," 94,257 "," 283,681 "," 2,616,603 ",,,,,,
2023,Q4," 2,752,259 "," 681,251 "," 598,638 "," 130,649 "," 73,182 "," 65,951 "," 53,417 "," 25,574 "," 59,521 "," 151,586 "," 16,674 "," 22,554 "," 83,146 "," 75,539 "," 47,535 "," 27,879 "," 78,705 "," 71,655 "," 7,016 "," 250,208 "," 162,978 "," 87,405 "," 91,503 "," 7,284 "," 84,198 "," 145,850 "," 329,682 "," 94,392 "," 146,698 "," 89,085 "," 51,133 "," 117,455 "," 21,520 "," 83,295 "," 12,628 "," 32,580 "," 567,272 "," 339,072 "," 64,468 "," 74,631 "," 168,908 "," 31,633 "," 38,047 "," 2,789,873 "," 107,452 "," 266,514 "," 2,619,488 ",,,,,,
2024,Q1," 2,832,528 "," 689,677 "," 604,099 "," 130,607 "," 73,329 "," 67,745 "," 53,742 "," 24,223 "," 60,736 "," 153,470 "," 16,935 "," 22,894 "," 86,079 "," 76,417 "," 48,596 "," 27,809 "," 80,493 "," 73,415 "," 7,112 "," 256,777 "," 163,661 "," 93,888 "," 92,912 "," 7,370 "," 85,525 "," 146,387 "," 326,119 "," 84,897 "," 148,757 "," 91,778 "," 52,201 "," 118,841 "," 21,870 "," 84,187 "," 12,520 "," 32,724 "," 636,961 "," 337,040 "," 58,523 "," 74,885 "," 172,349 "," 32,227 "," 39,158 "," 2,871,843 "," 120,055 "," 314,882 "," 2,662,955 ",,,,,,
2024,Q2," 2,857,894 "," 701,096 "," 615,016 "," 132,449 "," 74,604 "," 67,851 "," 54,865 "," 23,665 "," 61,075 "," 160,444 "," 17,069 "," 23,237 "," 85,854 "," 76,884 "," 48,817 "," 28,158 "," 81,205 "," 73,975 "," 7,244 "," 259,776 "," 164,584 "," 94,696 "," 93,120 "," 7,444 "," 85,652 "," 147,508 "," 323,702 "," 81,367 "," 150,919 "," 93,095 "," 51,735 "," 119,684 "," 21,515 "," 86,018 "," 12,637 "," 32,970 "," 618,743 "," 338,891 "," 60,107 "," 76,240 "," 169,308 "," 32,730 "," 39,343 "," 2,897,555 "," 124,175 "," 332,370 "," 2,696,321 ",,,,,,
2024,Q3," 2,887,753 "," 707,231 "," 619,738 "," 134,651 "," 72,978 "," 68,466 "," 55,950 "," 23,581 "," 63,090 "," 159,070 "," 17,405 "," 23,635 "," 86,863 "," 77,339 "," 49,263 "," 28,162 "," 81,842 "," 74,497 "," 7,330 "," 253,295 "," 164,773 "," 87,917 "," 92,847 "," 7,388 "," 85,529 "," 148,620 "," 327,570 "," 77,635 "," 154,442 "," 96,496 "," 51,713 "," 120,124 "," 22,041 "," 85,333 "," 12,705 "," 33,338 "," 646,301 "," 340,746 "," 60,185 "," 78,146 "," 169,202 "," 32,542 "," 39,266 "," 2,926,887 "," 130,206 "," 358,398 "," 2,713,070 ",,,,,,
2024,Q4," 2,941,063 "," 711,382 "," 621,269 "," 137,281 "," 73,746 "," 69,440 "," 55,386 "," 24,065 "," 63,555 "," 158,046 "," 17,455 "," 23,811 "," 90,081 "," 78,388 "," 49,928 "," 28,327 "," 83,047 "," 75,714 "," 7,316 "," 256,810 "," 165,730 "," 91,648 "," 93,337 "," 7,467 "," 85,855 "," 149,719 "," 325,831 "," 74,120 "," 149,676 "," 98,844 "," 52,383 "," 121,996 "," 22,666 "," 86,439 "," 12,788 "," 33,597 "," 706,735 "," 341,401 "," 60,357 "," 78,851 "," 170,295 "," 32,826 "," 38,723 "," 2,979,334 "," 118,806 "," 364,883 "," 2,732,897 ",,,,,,
2025,Q1," 2,953,673 "," 721,165 "," 631,231 "," 139,692 "," 73,788 "," 70,222 "," 55,191 "," 24,430 "," 64,780 "," 159,406 "," 17,478 "," 24,147 "," 90,598 "," 78,223 "," 49,969 "," 28,198 "," 83,478 "," 76,158 "," 7,334 "," 252,268 "," 166,472 "," 85,636 "," 92,506 "," 7,367 "," 85,117 "," 150,451 "," 327,175 "," 81,541 "," 144,890 "," 98,708 "," 53,085 "," 121,072 "," 22,676 "," 85,315 "," 12,913 "," 33,881 "," 703,127 "," 342,357 "," 61,816 "," 78,855 "," 168,885 "," 32,735 "," 38,896 "," 2,992,713 "," 108,591 "," 340,630 "," 2,750,590 ",,,,,,
2025,Q2," 2,942,871 "," 730,529 "," 638,094 "," 142,908 "," 73,726 "," 70,731 "," 55,636 "," 24,703 "," 65,417 "," 163,318 "," 18,033 "," 24,484 "," 92,226 "," 77,828 "," 49,516 "," 28,390 "," 83,373 "," 76,306 "," 7,125 "," 251,339 "," 167,522 "," 84,308 "," 91,833 "," 7,367 "," 84,426 "," 151,655 "," 322,038 "," 87,722 "," 138,945 "," 96,604 "," 53,266 "," 119,254 "," 22,394 "," 84,100 "," 13,001 "," 34,165 "," 677,247 "," 344,167 "," 62,142 "," 83,209 "," 164,892 "," 32,930 "," 39,537 "," 2,982,675 "," 105,418 "," 330,053 "," 2,757,499 ",,,,,,
2025,Q3," 2,953,108 "," 733,899 "," 641,318 "," 144,037 "," 73,840 "," 70,753 "," 56,342 "," 23,266 "," 65,850 "," 164,310 "," 17,800 "," 24,601 "," 91,884 "," 77,930 "," 49,543 "," 28,492 "," 82,824 "," 75,610 "," 7,217 "," 255,918 "," 168,266 "," 87,451 "," 91,221 "," 7,201 "," 84,093 "," 152,368 "," 320,855 "," 87,393 "," 139,644 "," 96,430 "," 53,394 "," 120,698 "," 22,236 "," 85,593 "," 12,898 "," 34,387 "," 679,483 "," 342,542 "," 62,644 "," 82,675 "," 162,690 "," 33,696 "," 39,472 "," 2,992,454 "," 98,101 "," 323,237 "," 2,770,414 ",,,,,,
2025,Q4," 3,013,929 "," 741,379 "," 646,119 "," 147,976 "," 74,036 "," 72,374 "," 56,347 "," 25,028 "," 66,388 "," 163,152 "," 17,954 "," 24,860 "," 95,210 "," 78,618 "," 50,191 "," 28,297 "," 84,397 "," 76,917 "," 7,491 "," 254,921 "," 168,992 "," 85,808 "," 93,724 "," 7,573 "," 86,141 "," 153,265 "," 331,307 "," 92,771 "," 136,964 "," 100,742 "," 53,909 "," 122,934 "," 23,457 "," 86,396 "," 12,858 "," 34,722 "," 727,851 "," 349,223 "," 64,092 "," 85,954 "," 167,172 "," 34,073 "," 38,916 "," 3,052,438 "," 104,202 "," 344,857 "," 2,812,637 ",,,,,,
2026,Q1," 3,049,225 "," 741,185 "," 647,070 "," 144,173 "," 73,748 "," 72,648 "," 56,106 "," 24,566 "," 67,128 "," 163,067 "," 18,032 "," 24,530 "," 94,834 "," 78,766 "," 50,064 "," 28,652 "," 85,966 "," 78,602 "," 7,405 "," 257,630 "," 169,326 "," 88,293 "," 92,023 "," 7,285 "," 84,730 "," 154,194 "," 337,604 "," 93,308 "," 139,491 "," 101,383 "," 54,528 "," 124,763 "," 23,489 "," 88,171 "," 13,078 "," 35,022 "," 738,691 "," 351,804 "," 64,550 "," 88,261 "," 164,058 "," 34,488 "," 39,169 "," 3,088,511 "," 112,017 "," 359,182 "," 2,834,610 ",,,,,,
2026,Q2," 3,074,519 "," 754,635 "," 656,571 "," 149,375 "," 73,493 "," 72,661 "," 57,386 "," 24,686 "," 67,896 "," 168,305 "," 18,485 "," 25,390 "," 97,780 "," 78,736 "," 49,929 "," 28,859 "," 87,830 "," 80,354 "," 7,525 "," 260,746 "," 169,583 "," 90,958 "," 92,052 "," 7,410 "," 84,595 "," 156,545 "," 361,491 "," 97,548 "," 161,639 "," 102,190 "," 54,865 "," 125,481 "," 24,504 "," 87,571 "," 13,361 "," 35,371 "," 720,247 "," 344,900 "," 63,860 "," 82,055 "," 163,887 "," 34,672 "," 40,492 "," 3,115,318 "," 110,859 "," 365,872 "," 2,859,606 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
